fragment,api,relevance
"Is there a way to import a 3D model into Android? <p>Is it possible to create a simple 3D model (for example in 3DS MAX) and then import it to Android?</p> <p>That's where I got to:</p>
<ul>
<li>I've used Google's APIDemos as a starting point - there are rotating cubes in there, each specified by two arrays: vertices and indices.</li>
<li>I've build my model using Blender and exported it as OFF file - it's a text file that lists all the vertices and then faces in terms of these vertices (indexed geometry)</li>
<li>Then I've created a simple C++ app that takes that OFF and writes it as two XMLs containing arrays (one for vertices and one for indices)</li>
<li>These XML files are then copied to res/values and this way I can assign the data they contain to arrays like this:<br/> 
<code>int vertices[] = context.getResources().getIntArray(R.array.vertices);</code></li>
<li>I also need to manually change the number of faces to be drawn in here: <code>gl.glDrawElements(GL10.GL_TRIANGLES, 212*6, GL10.GL_UNSIGNED_SHORT, mIndexBuffer);</code> - you can find that number (212 in this case) on top of the OFF file</li>
</ul>
<p>Here you can find my project page, which uses this solution:</p>
<p><a href=""http://code.google.com/p/vsiogap3d/"" rel=""noreferrer"">http://code.google.com/p/vsiogap3d/</a></p>",GL10,1
"Lazy load of images in ListView <p>I am using a <code>ListView</code> to display some images and captions associated with those images. I am getting the images from the Internet. Is there a way to lazy load the images so while the text displays, the UI is not locked up and images are displayed as they are downloaded? </p>
<p>The total number of images is not fixed.</p> <p>Here's what I created to hold the images that my app is currently displaying. Please note that the ""Log"" object in use here is my custom wrapper around the final Log class inside Android.</p>
<pre><code>package com.wilson.android.library;
/*
Licensed to the Apache Software Foundation (ASF) under one
or more contributor license agreements. See the NOTICE file
distributed with this work for additional information
regarding copyright ownership. The ASF licenses this file
to you under the Apache License, Version 2.0 (the
""License""); you may not use this file except in compliance
with the License. You may obtain a copy of the License at
http://www.apache.org/licenses/LICENSE-2.0
Unless required by applicable law or agreed to in writing,
software distributed under the License is distributed on an
""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
KIND, either express or implied. See the License for the
specific language governing permissions and limitations
under the License.
*/
import java.io.IOException;
public class DrawableManager {
private final Map<String, Drawable> drawableMap;
public DrawableManager() {
drawableMap = new HashMap<String, Drawable>();
}
public Drawable fetchDrawable(String urlString) {
if (drawableMap.containsKey(urlString)) {
return drawableMap.get(urlString);
}
Log.d(this.getClass().getSimpleName(), ""image url:"" + urlString);
try {
InputStream is = fetch(urlString);
Drawable drawable = Drawable.createFromStream(is, ""src"");
if (drawable != null) {
drawableMap.put(urlString, drawable);
Log.d(this.getClass().getSimpleName(), ""got a thumbnail drawable: "" + drawable.getBounds() + "", ""
+ drawable.getIntrinsicHeight() + "","" + drawable.getIntrinsicWidth() + "", ""
+ drawable.getMinimumHeight() + "","" + drawable.getMinimumWidth());
} else {
Log.w(this.getClass().getSimpleName(), ""could not get thumbnail"");
}
return drawable;
} catch (MalformedURLException e) {
Log.e(this.getClass().getSimpleName(), ""fetchDrawable failed"", e);
return null;
} catch (IOException e) {
Log.e(this.getClass().getSimpleName(), ""fetchDrawable failed"", e);
return null;
}
}
public void fetchDrawableOnThread(final String urlString, final ImageView imageView) {
if (drawableMap.containsKey(urlString)) {
imageView.setImageDrawable(drawableMap.get(urlString));
}
final Handler handler = new Handler() {
@Override
public void handleMessage(Message message) {
imageView.setImageDrawable((Drawable) message.obj);
}
};
Thread thread = new Thread() {
@Override
public void run() {
//TODO : set imageView to a ""pending"" image
Drawable drawable = fetchDrawable(urlString);
Message message = handler.obtainMessage(1, drawable);
handler.sendMessage(message);
}
};
thread.start();
}
private InputStream fetch(String urlString) throws MalformedURLException, IOException {
DefaultHttpClient httpClient = new DefaultHttpClient();
HttpGet request = new HttpGet(urlString);
HttpResponse response = httpClient.execute(request);
return response.getEntity().getContent();
}
}
</code></pre>",Drawable,1
"Lazy load of images in ListView <p>I am using a <code>ListView</code> to display some images and captions associated with those images. I am getting the images from the Internet. Is there a way to lazy load the images so while the text displays, the UI is not locked up and images are displayed as they are downloaded? </p>
<p>The total number of images is not fixed.</p> <p>Here's what I created to hold the images that my app is currently displaying. Please note that the ""Log"" object in use here is my custom wrapper around the final Log class inside Android.</p>
<pre><code>package com.wilson.android.library;
/*
Licensed to the Apache Software Foundation (ASF) under one
or more contributor license agreements. See the NOTICE file
distributed with this work for additional information
regarding copyright ownership. The ASF licenses this file
to you under the Apache License, Version 2.0 (the
""License""); you may not use this file except in compliance
with the License. You may obtain a copy of the License at
http://www.apache.org/licenses/LICENSE-2.0
Unless required by applicable law or agreed to in writing,
software distributed under the License is distributed on an
""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
KIND, either express or implied. See the License for the
specific language governing permissions and limitations
under the License.
*/
import java.io.IOException;
public class DrawableManager {
private final Map<String, Drawable> drawableMap;
public DrawableManager() {
drawableMap = new HashMap<String, Drawable>();
}
public Drawable fetchDrawable(String urlString) {
if (drawableMap.containsKey(urlString)) {
return drawableMap.get(urlString);
}
Log.d(this.getClass().getSimpleName(), ""image url:"" + urlString);
try {
InputStream is = fetch(urlString);
Drawable drawable = Drawable.createFromStream(is, ""src"");
if (drawable != null) {
drawableMap.put(urlString, drawable);
Log.d(this.getClass().getSimpleName(), ""got a thumbnail drawable: "" + drawable.getBounds() + "", ""
+ drawable.getIntrinsicHeight() + "","" + drawable.getIntrinsicWidth() + "", ""
+ drawable.getMinimumHeight() + "","" + drawable.getMinimumWidth());
} else {
Log.w(this.getClass().getSimpleName(), ""could not get thumbnail"");
}
return drawable;
} catch (MalformedURLException e) {
Log.e(this.getClass().getSimpleName(), ""fetchDrawable failed"", e);
return null;
} catch (IOException e) {
Log.e(this.getClass().getSimpleName(), ""fetchDrawable failed"", e);
return null;
}
}
public void fetchDrawableOnThread(final String urlString, final ImageView imageView) {
if (drawableMap.containsKey(urlString)) {
imageView.setImageDrawable(drawableMap.get(urlString));
}
final Handler handler = new Handler() {
@Override
public void handleMessage(Message message) {
imageView.setImageDrawable((Drawable) message.obj);
}
};
Thread thread = new Thread() {
@Override
public void run() {
//TODO : set imageView to a ""pending"" image
Drawable drawable = fetchDrawable(urlString);
Message message = handler.obtainMessage(1, drawable);
handler.sendMessage(message);
}
};
thread.start();
}
private InputStream fetch(String urlString) throws MalformedURLException, IOException {
DefaultHttpClient httpClient = new DefaultHttpClient();
HttpGet request = new HttpGet(urlString);
HttpResponse response = httpClient.execute(request);
return response.getEntity().getContent();
}
}
</code></pre>",ImageView,1
"Why is my animation leaving a trail? <p>I'm animating a an ImageView from the left to the right of the screen using a translate animation. The ImageView is place inside a RelativeLayout over the top of my main layout using FrameLayout.</p>
<p>When I run the animation on the emulator everything works pretty well but when I use run it on my G1 it leaves visual artifacts behind and effects the rendering of the text component behind it.</p>
<p>Is this a performance issue and I'm being too ambitious or is it a bug I can overcome?</p>
<p>If it is a performance issue is there anything I can do to improve things?</p> <p>This is happening to me as well. I'm using an emulator using 1.6 with the Google APIs, and I just confirmed that it happens on a Nexus One running FRF83. Here's the relevant code:</p>
<pre><code>Animation a = new TranslateAnimation(0.0f, 0.0f, 100.0f, 0.0f);
a.setDuration(2000);
this.myView.startAnimation(a);
</code></pre>
<p>Here's the relevant code for instantiating the view:</p>
<pre><code>View v = new View(this.getApplication());
LinearLayout.LayoutParams params = new LinearLayout.LayoutParams(ViewGroup.LayoutParams.FILL_PARENT, 80);
v.setLayoutParams(params);
v.setBackgroundColor(0xFFFF0000);
//
LinearLayout layout = (LinearLayout)this.findViewById(R.id.theLayout);
layout.addView(v);
//
v.setOnClickListener(new View.OnClickListener() {
public void onClick(View arg0) {
// TODO Auto-generated method stub
doAnimation();
}
});
//
myView = v;
</code></pre>
<p>So basically, the double buffering etc, is being handled by the OS, and I have no control over it at all.</p>",View,0
"Why is my animation leaving a trail? <p>I'm animating a an ImageView from the left to the right of the screen using a translate animation. The ImageView is place inside a RelativeLayout over the top of my main layout using FrameLayout.</p>
<p>When I run the animation on the emulator everything works pretty well but when I use run it on my G1 it leaves visual artifacts behind and effects the rendering of the text component behind it.</p>
<p>Is this a performance issue and I'm being too ambitious or is it a bug I can overcome?</p>
<p>If it is a performance issue is there anything I can do to improve things?</p> <p>This is happening to me as well. I'm using an emulator using 1.6 with the Google APIs, and I just confirmed that it happens on a Nexus One running FRF83. Here's the relevant code:</p>
<pre><code>Animation a = new TranslateAnimation(0.0f, 0.0f, 100.0f, 0.0f);
a.setDuration(2000);
this.myView.startAnimation(a);
</code></pre>
<p>Here's the relevant code for instantiating the view:</p>
<pre><code>View v = new View(this.getApplication());
LinearLayout.LayoutParams params = new LinearLayout.LayoutParams(ViewGroup.LayoutParams.FILL_PARENT, 80);
v.setLayoutParams(params);
v.setBackgroundColor(0xFFFF0000);
//
LinearLayout layout = (LinearLayout)this.findViewById(R.id.theLayout);
layout.addView(v);
//
v.setOnClickListener(new View.OnClickListener() {
public void onClick(View arg0) {
// TODO Auto-generated method stub
doAnimation();
}
});
//
myView = v;
</code></pre>
<p>So basically, the double buffering etc, is being handled by the OS, and I have no control over it at all.</p>",LinearLayout,0
"Why is my animation leaving a trail? <p>I'm animating a an ImageView from the left to the right of the screen using a translate animation. The ImageView is place inside a RelativeLayout over the top of my main layout using FrameLayout.</p>
<p>When I run the animation on the emulator everything works pretty well but when I use run it on my G1 it leaves visual artifacts behind and effects the rendering of the text component behind it.</p>
<p>Is this a performance issue and I'm being too ambitious or is it a bug I can overcome?</p>
<p>If it is a performance issue is there anything I can do to improve things?</p> <p>I figured this out on Jelly bean i was experiencing this in a gallery view while performing some animation. It looks more like a drawing issue not cpu ....</p>
<p>make your activity implement the interface AnimatorListener ..... override the below method and pick which one you want to redraw your view in </p>
<pre><code> @Override
public void onAnimationEnd(Animator animation) {
// TODO Auto-generated method stub
mView.requestLayout();
Toast.makeText(this, ""animation ended"", 0).show();
}
@Override
public void onAnimationRepeat(Animator animation) {
// TODO Auto-generated method stub
mView.requestLayout();
}
@Override
public void onAnimationStart(Animator animation) {
// TODO Auto-generated method stub
mView.requestLayout();
}
</code></pre>",Animator,0
"Android Endless List <p>How can I create a list where when you reach the end of the list I am notified so I can load more items? </p> <p>One solution is to implement an <a href=""http://developer.android.com/reference/android/widget/AbsListView.OnScrollListener.html"" rel=""noreferrer""><code>OnScrollListener</code></a> and make changes (like adding items, etc.) to the <a href=""http://developer.android.com/reference/android/widget/ListAdapter.html"" rel=""noreferrer""><code>ListAdapter</code></a> at a convenient state in its <code>onScroll</code> method.</p>
<p>The following <code>ListActivity</code> shows a list of integers, starting with 40, adding items when the user scrolls to the end of the list.</p>
<pre><code>public class Test extends ListActivity implements OnScrollListener {
Aleph0 adapter = new Aleph0();
protected void onCreate(Bundle savedInstanceState) {
super.onCreate(savedInstanceState);
setListAdapter(adapter); 
getListView().setOnScrollListener(this);
}
public void onScroll(AbsListView view,
int firstVisible, int visibleCount, int totalCount) {
boolean loadMore = /* maybe add a padding */
firstVisible + visibleCount >= totalCount;
if(loadMore) {
adapter.count += visibleCount; // or any other amount
adapter.notifyDataSetChanged();
}
}
public void onScrollStateChanged(AbsListView v, int s) { } 
class Aleph0 extends BaseAdapter {
int count = 40; /* starting amount */
public int getCount() { return count; }
public Object getItem(int pos) { return pos; }
public long getItemId(int pos) { return pos; }
public View getView(int pos, View v, ViewGroup p) {
TextView view = new TextView(Test.this);
view.setText(""entry "" + pos);
return view;
}
}
}
</code></pre>
<p>You should obviously use separate threads for long running actions (like loading web-data) and might want to indicate progress in the last list item (like the market or gmail apps do).</p>",View,1
"Android Endless List <p>How can I create a list where when you reach the end of the list I am notified so I can load more items? </p> <p>One solution is to implement an <a href=""http://developer.android.com/reference/android/widget/AbsListView.OnScrollListener.html"" rel=""noreferrer""><code>OnScrollListener</code></a> and make changes (like adding items, etc.) to the <a href=""http://developer.android.com/reference/android/widget/ListAdapter.html"" rel=""noreferrer""><code>ListAdapter</code></a> at a convenient state in its <code>onScroll</code> method.</p>
<p>The following <code>ListActivity</code> shows a list of integers, starting with 40, adding items when the user scrolls to the end of the list.</p>
<pre><code>public class Test extends ListActivity implements OnScrollListener {
Aleph0 adapter = new Aleph0();
protected void onCreate(Bundle savedInstanceState) {
super.onCreate(savedInstanceState);
setListAdapter(adapter); 
getListView().setOnScrollListener(this);
}
public void onScroll(AbsListView view,
int firstVisible, int visibleCount, int totalCount) {
boolean loadMore = /* maybe add a padding */
firstVisible + visibleCount >= totalCount;
if(loadMore) {
adapter.count += visibleCount; // or any other amount
adapter.notifyDataSetChanged();
}
}
public void onScrollStateChanged(AbsListView v, int s) { } 
class Aleph0 extends BaseAdapter {
int count = 40; /* starting amount */
public int getCount() { return count; }
public Object getItem(int pos) { return pos; }
public long getItemId(int pos) { return pos; }
public View getView(int pos, View v, ViewGroup p) {
TextView view = new TextView(Test.this);
view.setText(""entry "" + pos);
return view;
}
}
}
</code></pre>
<p>You should obviously use separate threads for long running actions (like loading web-data) and might want to indicate progress in the last list item (like the market or gmail apps do).</p>",TextView,1
"Android Endless List <p>How can I create a list where when you reach the end of the list I am notified so I can load more items? </p> <p>I've been working in another solution very similar to that, but, I am using a <code>footerView</code> to give the possibility to the user download more elements clicking the <code>footerView</code>, I am using a ""menu"" which is shown above the <code>ListView</code> and in the bottom of the parent view, this ""menu"" hides the bottom of the <code>ListView</code>, so, when the <code>listView</code> is scrolling the menu disappear and when scroll state is idle, the menu appear again, but when the user scrolls to the end of the <code>listView</code>, I ""ask"" to know if the <code>footerView</code> is shown in that case, the menu doesn't appear and the user can see the <code>footerView</code> to load more content. Here the code:</p>
<p>Regards.</p>
<pre><code>listView.setOnScrollListener(new OnScrollListener() {
@Override
public void onScrollStateChanged(AbsListView view, int scrollState) {
// TODO Auto-generated method stub
if(scrollState == SCROLL_STATE_IDLE) {
if(footerView.isShown()) {
bottomView.setVisibility(LinearLayout.INVISIBLE);
} else {
bottomView.setVisibility(LinearLayout.VISIBLE);
} else {
bottomView.setVisibility(LinearLayout.INVISIBLE);
}
}
}
@Override
public void onScroll(AbsListView view, int firstVisibleItem,
int visibleItemCount, int totalItemCount) {
}
});
</code></pre>",ListView,0
"How to load the Listview ""smoothly"" in android <p>I load data from Cursor to listview, but my Listview not really display ""smooth"". The data change when I drag up and down on the scollbar in my ListView. And some items look like duplicate display in my list.
I hava a ""complex ListView"" (two textview, one imageview) So I used newView(), bindView() to display data. Can someone help me?</p> <p>I will describe you how to get such issue that you have. Possibly this will help you.</p>
<p>So, in list adapter you have such code:</p>
<pre><code>public View getView(int position, View contentView, ViewGroup arg2)
{
ViewHolder holder;
if (contentView == null) {
holder = new ViewHolder();
contentView = inflater.inflate(R.layout.my_magic_list,null);
holder.label = (TextView) contentView.findViewById(R.id.label);
contentView.setTag(holder);
} else {
holder = (ViewHolder) contentView.getTag();
}
holder.label.setText(getLabel());
return contentView;
}
</code></pre>
<p>As you can see, we set list item value only after we have retrieved holder. </p>
<p>But if you move code into above if statement:</p>
<pre><code>holder.label.setText(getLabel());
</code></pre>
<p>so it will look after like below:</p>
<pre><code>if (contentView == null) {
holder = new ViewHolder();
contentView = inflater.inflate(R.layout.my_magic_list,null);
holder.label = (TextView) contentView.findViewById(R.id.label);
holder.label.setText(getLabel());
contentView.setTag(holder);
}
</code></pre>
<p>you will have your current application behavior with list item duplication.</p>
<p>Possibly it will help.</p>",View,1
