fragment,api,relevance
"Why is my animation leaving a trail? <p>I'm animating a an ImageView from the left to the right of the screen using a translate animation. The ImageView is place inside a RelativeLayout over the top of my main layout using FrameLayout.</p>
<p>When I run the animation on the emulator everything works pretty well but when I use run it on my G1 it leaves visual artifacts behind and effects the rendering of the text component behind it.</p>
<p>Is this a performance issue and I'm being too ambitious or is it a bug I can overcome?</p>
<p>If it is a performance issue is there anything I can do to improve things?</p> <p>This is happening to me as well. I'm using an emulator using 1.6 with the Google APIs, and I just confirmed that it happens on a Nexus One running FRF83. Here's the relevant code:</p>
<pre><code>Animation a = new TranslateAnimation(0.0f, 0.0f, 100.0f, 0.0f);
a.setDuration(2000);
this.myView.startAnimation(a);
</code></pre>
<p>Here's the relevant code for instantiating the view:</p>
<pre><code>View v = new View(this.getApplication());
LinearLayout.LayoutParams params = new LinearLayout.LayoutParams(ViewGroup.LayoutParams.FILL_PARENT, 80);
v.setLayoutParams(params);
v.setBackgroundColor(0xFFFF0000);
//
LinearLayout layout = (LinearLayout)this.findViewById(R.id.theLayout);
layout.addView(v);
//
v.setOnClickListener(new View.OnClickListener() {
public void onClick(View arg0) {
// TODO Auto-generated method stub
doAnimation();
}
});
//
myView = v;
</code></pre>
<p>So basically, the double buffering etc, is being handled by the OS, and I have no control over it at all.</p>",layout,0
"Why is my animation leaving a trail? <p>I'm animating a an ImageView from the left to the right of the screen using a translate animation. The ImageView is place inside a RelativeLayout over the top of my main layout using FrameLayout.</p>
<p>When I run the animation on the emulator everything works pretty well but when I use run it on my G1 it leaves visual artifacts behind and effects the rendering of the text component behind it.</p>
<p>Is this a performance issue and I'm being too ambitious or is it a bug I can overcome?</p>
<p>If it is a performance issue is there anything I can do to improve things?</p> <p>This is happening to me as well. I'm using an emulator using 1.6 with the Google APIs, and I just confirmed that it happens on a Nexus One running FRF83. Here's the relevant code:</p>
<pre><code>Animation a = new TranslateAnimation(0.0f, 0.0f, 100.0f, 0.0f);
a.setDuration(2000);
this.myView.startAnimation(a);
</code></pre>
<p>Here's the relevant code for instantiating the view:</p>
<pre><code>View v = new View(this.getApplication());
LinearLayout.LayoutParams params = new LinearLayout.LayoutParams(ViewGroup.LayoutParams.FILL_PARENT, 80);
v.setLayoutParams(params);
v.setBackgroundColor(0xFFFF0000);
//
LinearLayout layout = (LinearLayout)this.findViewById(R.id.theLayout);
layout.addView(v);
//
v.setOnClickListener(new View.OnClickListener() {
public void onClick(View arg0) {
// TODO Auto-generated method stub
doAnimation();
}
});
//
myView = v;
</code></pre>
<p>So basically, the double buffering etc, is being handled by the OS, and I have no control over it at all.</p>",TranslateAnimation,0
"Why is my animation leaving a trail? <p>I'm animating a an ImageView from the left to the right of the screen using a translate animation. The ImageView is place inside a RelativeLayout over the top of my main layout using FrameLayout.</p>
<p>When I run the animation on the emulator everything works pretty well but when I use run it on my G1 it leaves visual artifacts behind and effects the rendering of the text component behind it.</p>
<p>Is this a performance issue and I'm being too ambitious or is it a bug I can overcome?</p>
<p>If it is a performance issue is there anything I can do to improve things?</p> <p>This is happening to me as well. I'm using an emulator using 1.6 with the Google APIs, and I just confirmed that it happens on a Nexus One running FRF83. Here's the relevant code:</p>
<pre><code>Animation a = new TranslateAnimation(0.0f, 0.0f, 100.0f, 0.0f);
a.setDuration(2000);
this.myView.startAnimation(a);
</code></pre>
<p>Here's the relevant code for instantiating the view:</p>
<pre><code>View v = new View(this.getApplication());
LinearLayout.LayoutParams params = new LinearLayout.LayoutParams(ViewGroup.LayoutParams.FILL_PARENT, 80);
v.setLayoutParams(params);
v.setBackgroundColor(0xFFFF0000);
//
LinearLayout layout = (LinearLayout)this.findViewById(R.id.theLayout);
layout.addView(v);
//
v.setOnClickListener(new View.OnClickListener() {
public void onClick(View arg0) {
// TODO Auto-generated method stub
doAnimation();
}
});
//
myView = v;
</code></pre>
<p>So basically, the double buffering etc, is being handled by the OS, and I have no control over it at all.</p>",View,0
"Why is my animation leaving a trail? <p>I'm animating a an ImageView from the left to the right of the screen using a translate animation. The ImageView is place inside a RelativeLayout over the top of my main layout using FrameLayout.</p>
<p>When I run the animation on the emulator everything works pretty well but when I use run it on my G1 it leaves visual artifacts behind and effects the rendering of the text component behind it.</p>
<p>Is this a performance issue and I'm being too ambitious or is it a bug I can overcome?</p>
<p>If it is a performance issue is there anything I can do to improve things?</p> <p>I figured this out on Jelly bean i was experiencing this in a gallery view while performing some animation. It looks more like a drawing issue not cpu ....</p>
<p>make your activity implement the interface AnimatorListener ..... override the below method and pick which one you want to redraw your view in </p>
<pre><code> @Override
public void onAnimationEnd(Animator animation) {
// TODO Auto-generated method stub
mView.requestLayout();
Toast.makeText(this, ""animation ended"", 0).show();
}
@Override
public void onAnimationRepeat(Animator animation) {
// TODO Auto-generated method stub
mView.requestLayout();
}
@Override
public void onAnimationStart(Animator animation) {
// TODO Auto-generated method stub
mView.requestLayout();
}
</code></pre>",Animator,0
"How to make a smooth image rotation in Android? <p>I'm using a <code>RotateAnimation</code> to rotate an image that I'm using as a custom cyclical spinner in Android. Here's my <code>rotate_indefinitely.xml</code> file, which I placed in <code>res/anim/</code>:</p>
<pre><code><?xml version=""1.0"" encoding=""UTF-8""?>
<rotate
xmlns:android=""http://schemas.android.com/apk/res/android""
android:fromDegrees=""0""
android:toDegrees=""360""
android:pivotX=""50%""
android:pivotY=""50%""
android:repeatCount=""infinite""
android:duration=""1200"" /> 
</code></pre>
<p>When I apply this to my <code>ImageView</code> using <code>AndroidUtils.loadAnimation()</code>, it works great! </p>
<pre><code>spinner.startAnimation( 
AnimationUtils.loadAnimation(activity, R.anim.rotate_indefinitely) );
</code></pre>
<p>The one problem is that the image rotation seems to pause at the top of every cycle.</p>
<p>In other words, the image rotates 360 degrees, pauses briefly, then rotates 360 degrees again, etc.</p>
<p>I suspect that the problem is that the animation is using a default interpolator like <code>android:iterpolator=""@android:anim/accelerate_interpolator""</code> (<code>AccelerateInterpolator</code>), but I don't know how to tell it not to interpolate the animation.</p>
<p>How can I turn off interpolation (if that is indeed the problem) to make my animation cycle smoothly?</p> <p>In Android, if you want to animate an object and make it move an object from location1 to location2, the animation API figures out the intermediate locations (tweening) and then queues onto the main thread the appropriate move operations at the appropriate times using a timer. This works fine except that the main thread is usually used for many other things \xe2\x80\x94 painting, opening files, responding to user inputs etc. A queued timer can often be delayed. Well written programs will always try to do as many operations as possible in background (non main) threads however you can\xe2\x80\x99t always avoid using the main thread. Operations that require you to operate on a UI object always have to be done on the main thread. Also, many APIs will funnel operations back to the main thread as a form of thread-safety.</p>
<p>Views are all drawn on the same GUI thread which is also used for all user interaction.</p>
<p>So if you need to update GUI rapidly or if the rendering takes too much time and affects user experience then use SurfaceView.</p>
<p>Example of rotation image:</p>
<pre><code>public class MySurfaceView extends SurfaceView implements SurfaceHolder.Callback {
private DrawThread drawThread;
public MySurfaceView(Context context) {
super(context);
getHolder().addCallback(this);
}
@Override
public void surfaceChanged(SurfaceHolder holder, int format, int width,
int height) { 
}
@Override
public void surfaceCreated(SurfaceHolder holder) {
drawThread = new DrawThread(getHolder(), getResources());
drawThread.setRunning(true);
drawThread.start();
}
@Override
public void surfaceDestroyed(SurfaceHolder holder) {
boolean retry = true;
drawThread.setRunning(false);
while (retry) {
try {
drawThread.join();
retry = false;
} catch (InterruptedException e) {
}
}
}
}
class DrawThread extends Thread{
private boolean runFlag = false;
private SurfaceHolder surfaceHolder;
private Bitmap picture;
private Matrix matrix;
private long prevTime;
public DrawThread(SurfaceHolder surfaceHolder, Resources resources){
this.surfaceHolder = surfaceHolder;
picture = BitmapFactory.decodeResource(resources, R.drawable.icon);
matrix = new Matrix();
matrix.postScale(3.0f, 3.0f);
matrix.postTranslate(100.0f, 100.0f);
prevTime = System.currentTimeMillis();
}
public void setRunning(boolean run) {
runFlag = run;
}
@Override
public void run() {
Canvas canvas;
while (runFlag) {
long now = System.currentTimeMillis();
long elapsedTime = now - prevTime;
if (elapsedTime > 30){
prevTime = now;
matrix.preRotate(2.0f, picture.getWidth() / 2, picture.getHeight() / 2);
}
canvas = null;
try {
canvas = surfaceHolder.lockCanvas(null);
synchronized (surfaceHolder) {
canvas.drawColor(Color.BLACK);
canvas.drawBitmap(picture, matrix, null);
}
} 
finally {
if (canvas != null) {
surfaceHolder.unlockCanvasAndPost(canvas);
}
}
}
}
}
</code></pre>
<p>activity:</p>
<pre><code>public class SurfaceViewActivity extends Activity {
/** Called when the activity is first created. */
@Override
public void onCreate(Bundle savedInstanceState) {
super.onCreate(savedInstanceState);
setContentView(new MySurfaceView(this));
}
}
</code></pre>",Context,0
"How to make a smooth image rotation in Android? <p>I'm using a <code>RotateAnimation</code> to rotate an image that I'm using as a custom cyclical spinner in Android. Here's my <code>rotate_indefinitely.xml</code> file, which I placed in <code>res/anim/</code>:</p>
<pre><code><?xml version=""1.0"" encoding=""UTF-8""?>
<rotate
xmlns:android=""http://schemas.android.com/apk/res/android""
android:fromDegrees=""0""
android:toDegrees=""360""
android:pivotX=""50%""
android:pivotY=""50%""
android:repeatCount=""infinite""
android:duration=""1200"" /> 
</code></pre>
<p>When I apply this to my <code>ImageView</code> using <code>AndroidUtils.loadAnimation()</code>, it works great! </p>
<pre><code>spinner.startAnimation( 
AnimationUtils.loadAnimation(activity, R.anim.rotate_indefinitely) );
</code></pre>
<p>The one problem is that the image rotation seems to pause at the top of every cycle.</p>
<p>In other words, the image rotates 360 degrees, pauses briefly, then rotates 360 degrees again, etc.</p>
<p>I suspect that the problem is that the animation is using a default interpolator like <code>android:iterpolator=""@android:anim/accelerate_interpolator""</code> (<code>AccelerateInterpolator</code>), but I don't know how to tell it not to interpolate the animation.</p>
<p>How can I turn off interpolation (if that is indeed the problem) to make my animation cycle smoothly?</p> <p>In Android, if you want to animate an object and make it move an object from location1 to location2, the animation API figures out the intermediate locations (tweening) and then queues onto the main thread the appropriate move operations at the appropriate times using a timer. This works fine except that the main thread is usually used for many other things \xe2\x80\x94 painting, opening files, responding to user inputs etc. A queued timer can often be delayed. Well written programs will always try to do as many operations as possible in background (non main) threads however you can\xe2\x80\x99t always avoid using the main thread. Operations that require you to operate on a UI object always have to be done on the main thread. Also, many APIs will funnel operations back to the main thread as a form of thread-safety.</p>
<p>Views are all drawn on the same GUI thread which is also used for all user interaction.</p>
<p>So if you need to update GUI rapidly or if the rendering takes too much time and affects user experience then use SurfaceView.</p>
<p>Example of rotation image:</p>
<pre><code>public class MySurfaceView extends SurfaceView implements SurfaceHolder.Callback {
private DrawThread drawThread;
public MySurfaceView(Context context) {
super(context);
getHolder().addCallback(this);
}
@Override
public void surfaceChanged(SurfaceHolder holder, int format, int width,
int height) { 
}
@Override
public void surfaceCreated(SurfaceHolder holder) {
drawThread = new DrawThread(getHolder(), getResources());
drawThread.setRunning(true);
drawThread.start();
}
@Override
public void surfaceDestroyed(SurfaceHolder holder) {
boolean retry = true;
drawThread.setRunning(false);
while (retry) {
try {
drawThread.join();
retry = false;
} catch (InterruptedException e) {
}
}
}
}
class DrawThread extends Thread{
private boolean runFlag = false;
private SurfaceHolder surfaceHolder;
private Bitmap picture;
private Matrix matrix;
private long prevTime;
public DrawThread(SurfaceHolder surfaceHolder, Resources resources){
this.surfaceHolder = surfaceHolder;
picture = BitmapFactory.decodeResource(resources, R.drawable.icon);
matrix = new Matrix();
matrix.postScale(3.0f, 3.0f);
matrix.postTranslate(100.0f, 100.0f);
prevTime = System.currentTimeMillis();
}
public void setRunning(boolean run) {
runFlag = run;
}
@Override
public void run() {
Canvas canvas;
while (runFlag) {
long now = System.currentTimeMillis();
long elapsedTime = now - prevTime;
if (elapsedTime > 30){
prevTime = now;
matrix.preRotate(2.0f, picture.getWidth() / 2, picture.getHeight() / 2);
}
canvas = null;
try {
canvas = surfaceHolder.lockCanvas(null);
synchronized (surfaceHolder) {
canvas.drawColor(Color.BLACK);
canvas.drawBitmap(picture, matrix, null);
}
} 
finally {
if (canvas != null) {
surfaceHolder.unlockCanvasAndPost(canvas);
}
}
}
}
}
</code></pre>
<p>activity:</p>
<pre><code>public class SurfaceViewActivity extends Activity {
/** Called when the activity is first created. */
@Override
public void onCreate(Bundle savedInstanceState) {
super.onCreate(savedInstanceState);
setContentView(new MySurfaceView(this));
}
}
</code></pre>",Resources,0
"How to make a smooth image rotation in Android? <p>I'm using a <code>RotateAnimation</code> to rotate an image that I'm using as a custom cyclical spinner in Android. Here's my <code>rotate_indefinitely.xml</code> file, which I placed in <code>res/anim/</code>:</p>
<pre><code><?xml version=""1.0"" encoding=""UTF-8""?>
<rotate
xmlns:android=""http://schemas.android.com/apk/res/android""
android:fromDegrees=""0""
android:toDegrees=""360""
android:pivotX=""50%""
android:pivotY=""50%""
android:repeatCount=""infinite""
android:duration=""1200"" /> 
</code></pre>
<p>When I apply this to my <code>ImageView</code> using <code>AndroidUtils.loadAnimation()</code>, it works great! </p>
<pre><code>spinner.startAnimation( 
AnimationUtils.loadAnimation(activity, R.anim.rotate_indefinitely) );
</code></pre>
<p>The one problem is that the image rotation seems to pause at the top of every cycle.</p>
<p>In other words, the image rotates 360 degrees, pauses briefly, then rotates 360 degrees again, etc.</p>
<p>I suspect that the problem is that the animation is using a default interpolator like <code>android:iterpolator=""@android:anim/accelerate_interpolator""</code> (<code>AccelerateInterpolator</code>), but I don't know how to tell it not to interpolate the animation.</p>
<p>How can I turn off interpolation (if that is indeed the problem) to make my animation cycle smoothly?</p> <p>In Android, if you want to animate an object and make it move an object from location1 to location2, the animation API figures out the intermediate locations (tweening) and then queues onto the main thread the appropriate move operations at the appropriate times using a timer. This works fine except that the main thread is usually used for many other things \xe2\x80\x94 painting, opening files, responding to user inputs etc. A queued timer can often be delayed. Well written programs will always try to do as many operations as possible in background (non main) threads however you can\xe2\x80\x99t always avoid using the main thread. Operations that require you to operate on a UI object always have to be done on the main thread. Also, many APIs will funnel operations back to the main thread as a form of thread-safety.</p>
<p>Views are all drawn on the same GUI thread which is also used for all user interaction.</p>
<p>So if you need to update GUI rapidly or if the rendering takes too much time and affects user experience then use SurfaceView.</p>
<p>Example of rotation image:</p>
<pre><code>public class MySurfaceView extends SurfaceView implements SurfaceHolder.Callback {
private DrawThread drawThread;
public MySurfaceView(Context context) {
super(context);
getHolder().addCallback(this);
}
@Override
public void surfaceChanged(SurfaceHolder holder, int format, int width,
int height) { 
}
@Override
public void surfaceCreated(SurfaceHolder holder) {
drawThread = new DrawThread(getHolder(), getResources());
drawThread.setRunning(true);
drawThread.start();
}
@Override
public void surfaceDestroyed(SurfaceHolder holder) {
boolean retry = true;
drawThread.setRunning(false);
while (retry) {
try {
drawThread.join();
retry = false;
} catch (InterruptedException e) {
}
}
}
}
class DrawThread extends Thread{
private boolean runFlag = false;
private SurfaceHolder surfaceHolder;
private Bitmap picture;
private Matrix matrix;
private long prevTime;
public DrawThread(SurfaceHolder surfaceHolder, Resources resources){
this.surfaceHolder = surfaceHolder;
picture = BitmapFactory.decodeResource(resources, R.drawable.icon);
matrix = new Matrix();
matrix.postScale(3.0f, 3.0f);
matrix.postTranslate(100.0f, 100.0f);
prevTime = System.currentTimeMillis();
}
public void setRunning(boolean run) {
runFlag = run;
}
@Override
public void run() {
Canvas canvas;
while (runFlag) {
long now = System.currentTimeMillis();
long elapsedTime = now - prevTime;
if (elapsedTime > 30){
prevTime = now;
matrix.preRotate(2.0f, picture.getWidth() / 2, picture.getHeight() / 2);
}
canvas = null;
try {
canvas = surfaceHolder.lockCanvas(null);
synchronized (surfaceHolder) {
canvas.drawColor(Color.BLACK);
canvas.drawBitmap(picture, matrix, null);
}
} 
finally {
if (canvas != null) {
surfaceHolder.unlockCanvasAndPost(canvas);
}
}
}
}
}
</code></pre>
<p>activity:</p>
<pre><code>public class SurfaceViewActivity extends Activity {
/** Called when the activity is first created. */
@Override
public void onCreate(Bundle savedInstanceState) {
super.onCreate(savedInstanceState);
setContentView(new MySurfaceView(this));
}
}
</code></pre>",Activity,0
"How to make a smooth image rotation in Android? <p>I'm using a <code>RotateAnimation</code> to rotate an image that I'm using as a custom cyclical spinner in Android. Here's my <code>rotate_indefinitely.xml</code> file, which I placed in <code>res/anim/</code>:</p>
<pre><code><?xml version=""1.0"" encoding=""UTF-8""?>
<rotate
xmlns:android=""http://schemas.android.com/apk/res/android""
android:fromDegrees=""0""
android:toDegrees=""360""
android:pivotX=""50%""
android:pivotY=""50%""
android:repeatCount=""infinite""
android:duration=""1200"" /> 
</code></pre>
<p>When I apply this to my <code>ImageView</code> using <code>AndroidUtils.loadAnimation()</code>, it works great! </p>
<pre><code>spinner.startAnimation( 
AnimationUtils.loadAnimation(activity, R.anim.rotate_indefinitely) );
</code></pre>
<p>The one problem is that the image rotation seems to pause at the top of every cycle.</p>
<p>In other words, the image rotates 360 degrees, pauses briefly, then rotates 360 degrees again, etc.</p>
<p>I suspect that the problem is that the animation is using a default interpolator like <code>android:iterpolator=""@android:anim/accelerate_interpolator""</code> (<code>AccelerateInterpolator</code>), but I don't know how to tell it not to interpolate the animation.</p>
<p>How can I turn off interpolation (if that is indeed the problem) to make my animation cycle smoothly?</p> <p>In Android, if you want to animate an object and make it move an object from location1 to location2, the animation API figures out the intermediate locations (tweening) and then queues onto the main thread the appropriate move operations at the appropriate times using a timer. This works fine except that the main thread is usually used for many other things \xe2\x80\x94 painting, opening files, responding to user inputs etc. A queued timer can often be delayed. Well written programs will always try to do as many operations as possible in background (non main) threads however you can\xe2\x80\x99t always avoid using the main thread. Operations that require you to operate on a UI object always have to be done on the main thread. Also, many APIs will funnel operations back to the main thread as a form of thread-safety.</p>
<p>Views are all drawn on the same GUI thread which is also used for all user interaction.</p>
<p>So if you need to update GUI rapidly or if the rendering takes too much time and affects user experience then use SurfaceView.</p>
<p>Example of rotation image:</p>
<pre><code>public class MySurfaceView extends SurfaceView implements SurfaceHolder.Callback {
private DrawThread drawThread;
public MySurfaceView(Context context) {
super(context);
getHolder().addCallback(this);
}
@Override
public void surfaceChanged(SurfaceHolder holder, int format, int width,
int height) { 
}
@Override
public void surfaceCreated(SurfaceHolder holder) {
drawThread = new DrawThread(getHolder(), getResources());
drawThread.setRunning(true);
drawThread.start();
}
@Override
public void surfaceDestroyed(SurfaceHolder holder) {
boolean retry = true;
drawThread.setRunning(false);
while (retry) {
try {
drawThread.join();
retry = false;
} catch (InterruptedException e) {
}
}
}
}
class DrawThread extends Thread{
private boolean runFlag = false;
private SurfaceHolder surfaceHolder;
private Bitmap picture;
private Matrix matrix;
private long prevTime;
public DrawThread(SurfaceHolder surfaceHolder, Resources resources){
this.surfaceHolder = surfaceHolder;
picture = BitmapFactory.decodeResource(resources, R.drawable.icon);
matrix = new Matrix();
matrix.postScale(3.0f, 3.0f);
matrix.postTranslate(100.0f, 100.0f);
prevTime = System.currentTimeMillis();
}
public void setRunning(boolean run) {
runFlag = run;
}
@Override
public void run() {
Canvas canvas;
while (runFlag) {
long now = System.currentTimeMillis();
long elapsedTime = now - prevTime;
if (elapsedTime > 30){
prevTime = now;
matrix.preRotate(2.0f, picture.getWidth() / 2, picture.getHeight() / 2);
}
canvas = null;
try {
canvas = surfaceHolder.lockCanvas(null);
synchronized (surfaceHolder) {
canvas.drawColor(Color.BLACK);
canvas.drawBitmap(picture, matrix, null);
}
} 
finally {
if (canvas != null) {
surfaceHolder.unlockCanvasAndPost(canvas);
}
}
}
}
}
</code></pre>
<p>activity:</p>
<pre><code>public class SurfaceViewActivity extends Activity {
/** Called when the activity is first created. */
@Override
public void onCreate(Bundle savedInstanceState) {
super.onCreate(savedInstanceState);
setContentView(new MySurfaceView(this));
}
}
</code></pre>",Bitmap,0
"How to make a smooth image rotation in Android? <p>I'm using a <code>RotateAnimation</code> to rotate an image that I'm using as a custom cyclical spinner in Android. Here's my <code>rotate_indefinitely.xml</code> file, which I placed in <code>res/anim/</code>:</p>
<pre><code><?xml version=""1.0"" encoding=""UTF-8""?>
<rotate
xmlns:android=""http://schemas.android.com/apk/res/android""
android:fromDegrees=""0""
android:toDegrees=""360""
android:pivotX=""50%""
android:pivotY=""50%""
android:repeatCount=""infinite""
android:duration=""1200"" /> 
</code></pre>
<p>When I apply this to my <code>ImageView</code> using <code>AndroidUtils.loadAnimation()</code>, it works great! </p>
<pre><code>spinner.startAnimation( 
AnimationUtils.loadAnimation(activity, R.anim.rotate_indefinitely) );
</code></pre>
<p>The one problem is that the image rotation seems to pause at the top of every cycle.</p>
<p>In other words, the image rotates 360 degrees, pauses briefly, then rotates 360 degrees again, etc.</p>
<p>I suspect that the problem is that the animation is using a default interpolator like <code>android:iterpolator=""@android:anim/accelerate_interpolator""</code> (<code>AccelerateInterpolator</code>), but I don't know how to tell it not to interpolate the animation.</p>
<p>How can I turn off interpolation (if that is indeed the problem) to make my animation cycle smoothly?</p> <p>In Android, if you want to animate an object and make it move an object from location1 to location2, the animation API figures out the intermediate locations (tweening) and then queues onto the main thread the appropriate move operations at the appropriate times using a timer. This works fine except that the main thread is usually used for many other things \xe2\x80\x94 painting, opening files, responding to user inputs etc. A queued timer can often be delayed. Well written programs will always try to do as many operations as possible in background (non main) threads however you can\xe2\x80\x99t always avoid using the main thread. Operations that require you to operate on a UI object always have to be done on the main thread. Also, many APIs will funnel operations back to the main thread as a form of thread-safety.</p>
<p>Views are all drawn on the same GUI thread which is also used for all user interaction.</p>
<p>So if you need to update GUI rapidly or if the rendering takes too much time and affects user experience then use SurfaceView.</p>
<p>Example of rotation image:</p>
<pre><code>public class MySurfaceView extends SurfaceView implements SurfaceHolder.Callback {
private DrawThread drawThread;
public MySurfaceView(Context context) {
super(context);
getHolder().addCallback(this);
}
@Override
public void surfaceChanged(SurfaceHolder holder, int format, int width,
int height) { 
}
@Override
public void surfaceCreated(SurfaceHolder holder) {
drawThread = new DrawThread(getHolder(), getResources());
drawThread.setRunning(true);
drawThread.start();
}
@Override
public void surfaceDestroyed(SurfaceHolder holder) {
boolean retry = true;
drawThread.setRunning(false);
while (retry) {
try {
drawThread.join();
retry = false;
} catch (InterruptedException e) {
}
}
}
}
class DrawThread extends Thread{
private boolean runFlag = false;
private SurfaceHolder surfaceHolder;
private Bitmap picture;
private Matrix matrix;
private long prevTime;
public DrawThread(SurfaceHolder surfaceHolder, Resources resources){
this.surfaceHolder = surfaceHolder;
picture = BitmapFactory.decodeResource(resources, R.drawable.icon);
matrix = new Matrix();
matrix.postScale(3.0f, 3.0f);
matrix.postTranslate(100.0f, 100.0f);
prevTime = System.currentTimeMillis();
}
public void setRunning(boolean run) {
runFlag = run;
}
@Override
public void run() {
Canvas canvas;
while (runFlag) {
long now = System.currentTimeMillis();
long elapsedTime = now - prevTime;
if (elapsedTime > 30){
prevTime = now;
matrix.preRotate(2.0f, picture.getWidth() / 2, picture.getHeight() / 2);
}
canvas = null;
try {
canvas = surfaceHolder.lockCanvas(null);
synchronized (surfaceHolder) {
canvas.drawColor(Color.BLACK);
canvas.drawBitmap(picture, matrix, null);
}
} 
finally {
if (canvas != null) {
surfaceHolder.unlockCanvasAndPost(canvas);
}
}
}
}
}
</code></pre>
<p>activity:</p>
<pre><code>public class SurfaceViewActivity extends Activity {
/** Called when the activity is first created. */
@Override
public void onCreate(Bundle savedInstanceState) {
super.onCreate(savedInstanceState);
setContentView(new MySurfaceView(this));
}
}
</code></pre>",Bundle,0
"Android ImageView Animation <p>I've created a layout with an image view and a web view. The web view is set to have a default visibility of gone. When the activity fires up it displays the image view first and when the web view has finished loading its url, it marks itself as visible and the imageview is marked as hidden.</p>
<p>When the imageview is shown, I would like it to rotate repeatedly just for a little added pizazz. </p>
<p>I have never done animations before in Android and all the posts I found when I asked the internet were not helpful; thus, I have returned to SO for help. </p>
<p>So if I start with this...</p>
<pre><code> final ImageView splash = (ImageView)findViewById(R.id.splash);
</code></pre>
<p>How do I create a repeated rotate animation and apply it to the ImageView?</p>
<p>Thanks again!</p> <p>Use a <a href=""http://developer.android.com/reference/android/view/animation/RotateAnimation.html"" rel=""noreferrer""><code>RotateAnimation</code></a>, setting the pivot point to the centre of your image.</p>
<pre><code>RotateAnimation anim = new RotateAnimation(0f, 350f, 15f, 15f);
anim.setInterpolator(new LinearInterpolator());
anim.setRepeatCount(Animation.INFINITE);
anim.setDuration(700);
// Start animating the image
final ImageView splash = (ImageView) findViewById(R.id.splash);
splash.startAnimation(anim);
// Later.. stop the animation
splash.setAnimation(null);
</code></pre>",ImageView,1
