fragment,api,relevance
"Mapping Openfire Custom plugin with aSmack Client 

I'm a newbie to XMPP so forgive me if this question sounds silly. I want to create a custom plugin and map it with my aSmack client on Android. I'm trying to apply my knowledge of Web Services but I'm not winning. So please guide my thinking toward the best approach, an example will be really helpful. Thanx in advance.

There are many types of plugins, let's talk in general pourpose. Igniterealtime Plugin guide

You want to define a brand new IQ Stanza to manage an UserCustomParam. Let's say:
    
    
    
    
    

What you have to:

step 1: define a plugin (class that implemements Plugin) that adds a new handler
    
    
    MyCustomHandler colorshandler;
    IQRouter iqRouter = XMPPServer.getInstance().getIQRouter();
    iqRouter.addHandler(colorshandler);
    

Step2: implements MyCustomHandler as you need (read on database, write on database, read server side and so on).
    
    
    public class MyCustomHandler extends IQHandler {
    public static final String NAMESPACE_TICKET_IQ = ""com.records.iq"";
    public static final String TAG_TICKET_IQ = ""usercustomparam "";
    

Now your server it's ready to manage your custom IQ request.

Time to go client side:

Step3: register to your ProviderManager an IQProvider
    
    
    ProviderManager.addIQProvider(""usercustomparam "",""com.records.iq"", new IQUserCustomParamProvider());
    

Step4: implements your IQUserCustomParamProvider as you need
    
    
    public class IQUserCustomParamProvider extends IQProvider
    

into Provider you'll parse the incoming IQ from server and you'll create a IQUserCustomParam with an instance param like
    
    
    String favouriteColor
    

Step5: you need to implement IQUserCustomParam
    
    
    public class IQUserCustomParam extends IQ
    private final static String childElementName = ""usercustomparam"";
    private final static String childElementNamespace = ""com.records.iq"";
    public IQUserCustomParam (String color)
    {
    this(childElementName , childElementNamespace );
    this.setType(IQ.Type.result);
    this.setFavouriteColor(color);
    }
    

Step 6: now set up it's completed, but you haven't defined yet when to accept IQUserCustomParam when it comes from server. So you need a StanzaFilter
    
    
    public class IQUserCustomParamFilter implements StanzaFilter
    

Step 7: and you haven't defined yet what to do with IQUserCustomParam when it comes from server. So you need a StanzaListner
    
    
    public class IQUserCustomParamListner implements StanzaListener
    

Step 8: finally you'll have to register the combo filter/listner on your connection:
    
    
    AbstractXMPPConnection connection = ...;
    connection.addAsyncStanzaListener(new PersonalConfigListner(this), new IQMUCConfigTicketFIlter();
    

if that helped, please don't forget to accept the answer!",IQProvider,1
"smack presence listener in multi user chat 

smack presence listener in multi user chat not getting called. Used Smack Api to login and then added roster.addRosterListener(mRoasterListener); but could not get any success to listen when presence of other user of the chat room changes. I tried following code to get the presence listener to work :
    
    
    connection.login(loginUser, passwordUser);
    MultiUserChatManager manager = 
    MultiUserChatManager.getInstanceFor(connection);
    muc = manager.getMultiUserChat(roomID + ""@"" +context.getString(R.string.group_chat_id));
    Log.d(""Join User: "", ""Already Created"");
    muc.join(Utilities.getUserPhoneNo(context));
    muc.addMessageListener(mGroupMessageListener);
    Roster roster = Roster.getInstanceFor(connection);//luna
    roster.addRosterListener(mRoasterListener);//roasterListener
    Log.d(""Joined User Phone: "", "" "" + Utilities.getUserPhoneNo(context));
    

and this class to listen for presence change...
    
    
    public class RoasterListener implements RosterListener{
    public RoasterListener(Context context){
    }
    @Override
    public void entriesAdded(Collection collection) {
    }
    @Override
    public void entriesUpdated(Collection collection) {
    }
    @Override
    public void entriesDeleted(Collection collection) {
    }
    @Override
    public void presenceChanged(Presence presence) {
    System.out.println(""Presence changed: "" + presence.getFrom() + "" "" + presence);
    }
    }
    

I tried many links available by stackoverflow but could not get any success. Please Help!

For Multi User Chat you don't have to use Roster, because it's normal to meet people you don't have in Roster.

To know who is in a muc, first ask for occupants:
    
    
    muc.join(user,password);
    List occupantsAtJoinTime = muc.getOccupants();
    for (String occupant : occupantsAtJoinTime)
    {
    System.out.println(""occupant: ""+occupant);
    //actions
    }
    

then, to keep Occupants list updated, register a DefaultParticipantStatusListener to your muc and define that Listner:
    
    
    muc.addParticipantStatusListener(new CustomParticipantStatusListner());
    

definied as (there are many methods to implement if you need):
    
    
     public class CustomParticipantStatusListner extends DefaultParticipantStatusListener 
    {
    public void joined(String participant) 
    {
    System.out.println(participant + ""just joined MUC"");
    //actions (add occupantsRightNow)
    }
    public void left(String participant)
    {
    System.out.println(participant + "" just left MUC"");
    //actions (remove occupantsRightNow)
    }
    }
    

All this with smack 4.1.7",DefaultParticipantStatusListener,1
"XMPP Connection with Smack 4.1 on Android Studio 

I am trying to do an XMPP Connection with Smack 4.1.0 rc1 from https://github.com/igniterealtime/Smack i followed this guide https://github.com/igniterealtime/Smack/wiki/Smack-4.1-Readme-and-Upgrade-Guide importing the Gradle.

Source code:
    
    
    package com.example.xmpp_app;
    import android.os.Bundle;
    import android.support.v7.app.ActionBarActivity;
    import android.view.Menu;
    import android.view.MenuItem;
    import org.jivesoftware.smack.AbstractXMPPConnection;
    import org.jivesoftware.smack.SmackException;
    import org.jivesoftware.smack.XMPPException;
    import org.jivesoftware.smack.tcp.XMPPTCPConnection;
    import org.jivesoftware.smack.tcp.XMPPTCPConnectionConfiguration;
    import java.io.IOException;
    public class MainActivity extends ActionBarActivity {
    @Override
    protected void onCreate(Bundle savedInstanceState) {
    super.onCreate(savedInstanceState);
    setContentView(R.layout.activity_main);
    // Create the configuration for this new connection
    XMPPTCPConnectionConfiguration.Builder configBuilder = XMPPTCPConnectionConfiguration.builder();
    configBuilder.setUsernameAndPassword(""test@example.com"", ""password123"");
    configBuilder.setResource(""test"");
    configBuilder.setServiceName(""example.com"");
    AbstractXMPPConnection connection = new XMPPTCPConnection(configBuilder.build());
    // Connect to the server
    try {
    connection.connect();
    } catch (SmackException e) {
    e.printStackTrace();
    } catch (IOException e) {
    e.printStackTrace();
    } catch (XMPPException e) {
    e.printStackTrace();
    }
    // Log into the server
    try {
    connection.login();
    } catch (XMPPException e) {
    e.printStackTrace();
    } catch (SmackException e) {
    e.printStackTrace();
    } catch (IOException e) {
    e.printStackTrace();
    }
    // Disconnect from the server
    connection.disconnect();
    }
    @Override
    public boolean onCreateOptionsMenu(Menu menu) {
    // Inflate the menu; this adds items to the action bar if it is present.
    getMenuInflater().inflate(R.menu.menu_main, menu);
    return true;
    }
    @Override
    public boolean onOptionsItemSelected(MenuItem item) {
    // Handle action bar item clicks here. The action bar will
    // automatically handle clicks on the Home/Up button, so long
    // as you specify a parent activity in AndroidManifest.xml.
    int id = item.getItemId();
    //noinspection SimplifiableIfStatement
    if (id == R.id.action_settings) {
    return true;
    }
    return super.onOptionsItemSelected(item);
    }
    }
    

Gradle:
    
    
    // Top-level build file where you can add configuration options common to all sub-projects/modules.
    buildscript {
    repositories {
    jcenter()
    maven {
    url 'https://oss.sonatype.org/content/repositories/snapshots'
    }
    mavenCentral()
    }
    dependencies {
    classpath 'com.android.tools.build:gradle:1.1.0'
    // NOTE: Do not place your application dependencies here; they belong
    // in the individual module build.gradle files
    }
    }
    allprojects {
    repositories {
    jcenter()
    }
    }
    

build gradle: 
    
    
    apply plugin: 'com.android.application'
    android {
    compileSdkVersion 21
    buildToolsVersion ""21.1.2""
    defaultConfig {
    applicationId ""com.example.xmpp_app""
    minSdkVersion 15
    targetSdkVersion 21
    versionCode 1
    versionName ""1.0""
    }
    buildTypes {
    release {
    minifyEnabled false
    proguardFiles getDefaultProguardFile('proguard-android.txt'), 'proguard-rules.pro'
    }
    }
    }
    dependencies {
    compile fileTree(dir: 'libs', include: ['*.jar'])
    compile 'com.android.support:appcompat-v7:21.0.3'
    compile ""org.igniterealtime.smack:smack-java7:4.1.0-rc1""
    // Optional for XMPPTCPConnection
    compile ""org.igniterealtime.smack:smack-tcp:4.1.0-rc1""
    // Optional for XMPP-IM (RFC 6121) support (Roster, Threaded Chats, \xe2\x80\xa6)
    compile ""org.igniterealtime.smack:smack-im:4.1.0-rc1""
    // Optional for XMPP extensions support
    compile ""org.igniterealtime.smack:smack-extensions:4.1.0-rc1""
    }
    

ERROR:
    
    
    03-20 20:34:33.830 1005-1005/com.example.xmpp_app I/dalvikvm\xef\xb9\x95 Could not find method android.view.ViewGroup.onNestedScrollAccepted, referenced from method android.support.v7.internal.widget.ActionBarOverlayLayout.onNestedScrollAccepted
    03-20 20:34:33.830 1005-1005/com.example.xmpp_app W/dalvikvm\xef\xb9\x95 VFY: unable to resolve virtual method 11345: Landroid/view/ViewGroup;.onNestedScrollAccepted (Landroid/view/View;Landroid/view/View;I)V
    03-20 20:34:33.850 1005-1005/com.example.xmpp_app D/dalvikvm\xef\xb9\x95 VFY: replacing opcode 0x6f at 0x0000
    03-20 20:34:33.850 1005-1005/com.example.xmpp_app I/dalvikvm\xef\xb9\x95 Could not find method android.view.ViewGroup.onStopNestedScroll, referenced from method android.support.v7.internal.widget.ActionBarOverlayLayout.onStopNestedScroll
    03-20 20:34:33.850 1005-1005/com.example.xmpp_app W/dalvikvm\xef\xb9\x95 VFY: unable to resolve virtual method 11351: Landroid/view/ViewGroup;.onStopNestedScroll (Landroid/view/View;)V
    03-20 20:34:33.850 1005-1005/com.example.xmpp_app D/dalvikvm\xef\xb9\x95 VFY: replacing opcode 0x6f at 0x0000
    03-20 20:34:33.920 1005-1005/com.example.xmpp_app I/dalvikvm\xef\xb9\x95 Could not find method android.support.v7.internal.widget.ActionBarOverlayLayout.stopNestedScroll, referenced from method android.support.v7.internal.widget.ActionBarOverlayLayout.setHideOnContentScrollEnabled
    03-20 20:34:33.920 1005-1005/com.example.xmpp_app W/dalvikvm\xef\xb9\x95 VFY: unable to resolve virtual method 9039: Landroid/support/v7/internal/widget/ActionBarOverlayLayout;.stopNestedScroll ()V
    03-20 20:34:33.950 1005-1005/com.example.xmpp_app D/dalvikvm\xef\xb9\x95 VFY: replacing opcode 0x6e at 0x000e
    03-20 20:34:34.100 1005-1005/com.example.xmpp_app I/dalvikvm\xef\xb9\x95 Could not find method android.content.res.TypedArray.getChangingConfigurations, referenced from method android.support.v7.internal.widget.TintTypedArray.getChangingConfigurations
    03-20 20:34:34.110 1005-1005/com.example.xmpp_app W/dalvikvm\xef\xb9\x95 VFY: unable to resolve virtual method 364: Landroid/content/res/TypedArray;.getChangingConfigurations ()I
    03-20 20:34:34.110 1005-1005/com.example.xmpp_app D/dalvikvm\xef\xb9\x95 VFY: replacing opcode 0x6e at 0x0002
    03-20 20:34:34.150 1005-1005/com.example.xmpp_app I/dalvikvm\xef\xb9\x95 Could not find method android.content.res.TypedArray.getType, referenced from method android.support.v7.internal.widget.TintTypedArray.getType
    03-20 20:34:34.150 1005-1005/com.example.xmpp_app W/dalvikvm\xef\xb9\x95 VFY: unable to resolve virtual method 386: Landroid/content/res/TypedArray;.getType (I)I
    03-20 20:34:34.150 1005-1005/com.example.xmpp_app D/dalvikvm\xef\xb9\x95 VFY: replacing opcode 0x6e at 0x0002
    03-20 20:34:35.790 1005-1005/com.example.xmpp_app D/dalvikvm\xef\xb9\x95 GC_FOR_ALLOC freed 221K, 9% free 3164K/3452K, paused 105ms, total 115ms
    03-20 20:34:38.420 1005-1005/com.example.xmpp_app D/dalvikvm\xef\xb9\x95 GC_FOR_ALLOC freed 295K, 10% free 3382K/3744K, paused 90ms, total 93ms
    03-20 20:34:40.250 1005-1005/com.example.xmpp_app D/dalvikvm\xef\xb9\x95 GC_FOR_ALLOC freed 349K, 11% free 3531K/3952K, paused 80ms, total 85ms
    03-20 20:34:40.310 1005-1005/com.example.xmpp_app E/dalvikvm\xef\xb9\x95 Could not find class 'javax.naming.directory.InitialDirContext', referenced from method org.jivesoftware.smack.util.dns.javax.JavaxResolver.
    03-20 20:34:40.310 1005-1005/com.example.xmpp_app W/dalvikvm\xef\xb9\x95 VFY: unable to resolve new-instance 1688 (Ljavax/naming/directory/InitialDirContext;) in Lorg/jivesoftware/smack/util/dns/javax/JavaxResolver;
    03-20 20:34:40.320 1005-1005/com.example.xmpp_app D/dalvikvm\xef\xb9\x95 VFY: replacing opcode 0x22 at 0x000c
    03-20 20:34:40.360 1005-1005/com.example.xmpp_app I/dalvikvm\xef\xb9\x95 Could not find method javax.naming.directory.DirContext.getAttributes, referenced from method org.jivesoftware.smack.util.dns.javax.JavaxResolver.lookupSRVRecords
    03-20 20:34:40.360 1005-1005/com.example.xmpp_app W/dalvikvm\xef\xb9\x95 VFY: unable to resolve interface method 12701: Ljavax/naming/directory/DirContext;.getAttributes (Ljava/lang/String;[Ljava/lang/String;)Ljavax/naming/directory/Attributes;
    03-20 20:34:40.370 1005-1005/com.example.xmpp_app D/dalvikvm\xef\xb9\x95 VFY: replacing opcode 0x72 at 0x0011
    03-20 20:34:40.370 1005-1005/com.example.xmpp_app D/dalvikvm\xef\xb9\x95 DexOpt: unable to opt direct call 0x319e at 0x0e in Lorg/jivesoftware/smack/util/dns/javax/JavaxResolver;.
    03-20 20:34:40.410 1005-1005/com.example.xmpp_app W/dalvikvm\xef\xb9\x95 Exception Ljava/lang/NoClassDefFoundError; thrown while initializing Lorg/jivesoftware/smack/util/dns/javax/JavaxResolver;
    03-20 20:34:41.330 1005-1005/com.example.xmpp_app I/dalvikvm\xef\xb9\x95 Could not find method javax.security.sasl.Sasl.createSaslClient, referenced from method org.jivesoftware.smack.sasl.javax.SASLJavaXMechanism.authenticateInternal
    03-20 20:34:41.330 1005-1005/com.example.xmpp_app W/dalvikvm\xef\xb9\x95 VFY: unable to resolve static method 12731: Ljavax/security/sasl/Sasl;.createSaslClient ([Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/util/Map;Ljavax/security/auth/callback/CallbackHandler;)Ljavax/security/sasl/SaslClient;
    03-20 20:34:41.340 1005-1005/com.example.xmpp_app D/dalvikvm\xef\xb9\x95 VFY: replacing opcode 0x77 at 0x001a
    03-20 20:34:41.340 1005-1005/com.example.xmpp_app W/dalvikvm\xef\xb9\x95 VFY: unable to resolve exception class 1708 (Ljavax/security/sasl/SaslException;)
    03-20 20:34:41.350 1005-1005/com.example.xmpp_app W/dalvikvm\xef\xb9\x95 VFY: unable to find exception handler at addr 0x21
    03-20 20:34:41.350 1005-1005/com.example.xmpp_app W/dalvikvm\xef\xb9\x95 VFY: rejected Lorg/jivesoftware/smack/sasl/javax/SASLJavaXMechanism;.authenticateInternal ()V
    03-20 20:34:41.350 1005-1005/com.example.xmpp_app W/dalvikvm\xef\xb9\x95 VFY: rejecting opcode 0x0d at 0x0021
    03-20 20:34:41.350 1005-1005/com.example.xmpp_app W/dalvikvm\xef\xb9\x95 VFY: rejected Lorg/jivesoftware/smack/sasl/javax/SASLJavaXMechanism;.authenticateInternal ()V
    03-20 20:34:41.350 1005-1005/com.example.xmpp_app W/dalvikvm\xef\xb9\x95 Verifier rejected class Lorg/jivesoftware/smack/sasl/javax/SASLJavaXMechanism;
    03-20 20:34:41.370 1005-1005/com.example.xmpp_app W/dalvikvm\xef\xb9\x95 Exception Ljava/lang/VerifyError; thrown while initializing Lorg/jivesoftware/smack/SmackInitialization;
    03-20 20:34:41.370 1005-1005/com.example.xmpp_app W/dalvikvm\xef\xb9\x95 Exception Ljava/lang/VerifyError; thrown while initializing Lorg/jivesoftware/smack/ConnectionConfiguration;
    03-20 20:34:41.380 1005-1005/com.example.xmpp_app D/AndroidRuntime\xef\xb9\x95 Shutting down VM
    03-20 20:34:41.380 1005-1005/com.example.xmpp_app W/dalvikvm\xef\xb9\x95 threadid=1: thread exiting with uncaught exception (group=0xb1a3bba8)
    03-20 20:34:41.540 1005-1005/com.example.xmpp_app D/dalvikvm\xef\xb9\x95 GC_FOR_ALLOC freed 438K, 14% free 3576K/4112K, paused 59ms, total 64ms
    03-20 20:34:41.580 1005-1005/com.example.xmpp_app E/AndroidRuntime\xef\xb9\x95 FATAL EXCEPTION: main
    Process: com.example.xmpp_app, PID: 1005
    java.lang.VerifyError: org/jivesoftware/smack/sasl/javax/SASLJavaXMechanism
    at org.jivesoftware.smack.sasl.javax.SASLJavaXSmackInitializer.initialize(SASLJavaXSmackInitializer.java:28)
    at org.jivesoftware.smack.SmackInitialization.loadSmackClass(SmackInitialization.java:232)
    at org.jivesoftware.smack.SmackInitialization.parseClassesToLoad(SmackInitialization.java:193)
    at org.jivesoftware.smack.SmackInitialization.processConfigFile(SmackInitialization.java:163)
    at org.jivesoftware.smack.SmackInitialization.processConfigFile(SmackInitialization.java:148)
    at org.jivesoftware.smack.SmackInitialization.(SmackInitialization.java:116)
    at org.jivesoftware.smack.SmackConfiguration.getVersion(SmackConfiguration.java:96)
    at org.jivesoftware.smack.ConnectionConfiguration.(ConnectionConfiguration.java:38)
    at com.example.xmpp_app.MainActivity.onCreate(MainActivity.java:29)
    at android.app.Activity.performCreate(Activity.java:5231)
    at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1087)
    at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2159)
    at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2245)
    at android.app.ActivityThread.access$800(ActivityThread.java:135)
    at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1196)
    at android.os.Handler.dispatchMessage(Handler.java:102)
    at android.os.Looper.loop(Looper.java:136)
    at android.app.ActivityThread.main(ActivityThread.java:5017)
    at java.lang.reflect.Method.invokeNative(Native Method)
    at java.lang.reflect.Method.invoke(Method.java:515)
    at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:779)
    at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:595)
    at dalvik.system.NativeStart.main(Native Method)
    03-20 20:39:44.485 1005-1005/com.example.xmpp_app I/Process\xef\xb9\x95 Sending signal. PID: 1005 SIG: 9
    

Anyone could help me out with this problem please? I am just trying to check if the connection works..

Try to connect server with `XMPPConnection` class. 

How to connect:
    
    
    XMPPConnection con = new XMPPTCPConnection(""igniterealtime.org"");
    con.connect();",Roster,0
"XMPP Java client - Not connected to server 

I have a problem with my XMPP Java client.

I have a XMPP server (based on Ejabberd, 10.30.16.147) and two Pidgin users: test1@localhost (on My Windows machine, 10.30.16.199) and test2@locahost (on the Linux server machine, 10.30.16.147).

When I use the two Pidgin clients, the chat works fine. Now I am trying to create a Java client just to emulate one of the two Pidgin client. The code is as below (I have imported the Smack 3.4.1 library in my Eclipse project):
    
    
    package test2XMPP;
    import org.jivesoftware.smack.Chat;
    import org.jivesoftware.smack.ConnectionConfiguration;
    import org.jivesoftware.smack.XMPPConnection;
    import org.jivesoftware.smack.XMPPException;
    import org.jivesoftware.smack.packet.Message;
    import org.jivesoftware.smack.MessageListener;
    public class Sender {
    public static void main(String a[]) throws XMPPException, InterruptedException {
    ConnectionConfiguration config = new ConnectionConfiguration(""10.30.16.147"", 5222);
    XMPPConnection connection = new XMPPConnection(config);
    connection.connect();
    connection.login(""test1@locahost"", ""test1"");
    Chat chat = connection.getChatManager().createChat(""test2@localhost"", new MessageListener() {
    public void processMessage(Chat chat, Message message) {
    System.out.println(""Received message: "" + message);
    }
    });
    chat.sendMessage(""Howdy test1!"");
    while (true) {
    Thread.sleep(50);
    }
    }
    }
    

I get the following console output:
    
    
     apr 18, 2014 10:19:37 AM org.jivesoftware.smack.provider.UrlProviderFileInitializer initialize
    INFO: Loading providers for file [classpath:META-INF/core.providers]
    apr 18, 2014 10:19:37 AM org.jivesoftware.smack.provider.UrlProviderFileInitializer initialize
    INFO: Loading providers for file [classpath:META-INF/extension.providers]
    Exception in thread ""main"" java.lang.IllegalStateException: Not connected to server.
    at org.jivesoftware.smack.XMPPConnection.login(XMPPConnection.java:230)
    at org.jivesoftware.smack.Connection.login(Connection.java:368)
    at test2XMPP.Sender.main(Sender.java:18)
    

I get these error also if I'm already disconnected with my Pidgin test1@localhost client.

Do you have any suggestion? Thanks

Had a similar experience, issue was with Hostname & Domain name being different. I was using single argument constructor of ConnectionConfiguration class.
    
    
    ConnectionConfiguration config = new ConnectionConfiguration(hostname);
    

Just needed to identify Hostname of the machine where Ejabberd was installed & made sure that both of them were the same for the client's to communicate across.",Connection,0
"XMPP Java client - Not connected to server 

I have a problem with my XMPP Java client.

I have a XMPP server (based on Ejabberd, 10.30.16.147) and two Pidgin users: test1@localhost (on My Windows machine, 10.30.16.199) and test2@locahost (on the Linux server machine, 10.30.16.147).

When I use the two Pidgin clients, the chat works fine. Now I am trying to create a Java client just to emulate one of the two Pidgin client. The code is as below (I have imported the Smack 3.4.1 library in my Eclipse project):
    
    
    package test2XMPP;
    import org.jivesoftware.smack.Chat;
    import org.jivesoftware.smack.ConnectionConfiguration;
    import org.jivesoftware.smack.XMPPConnection;
    import org.jivesoftware.smack.XMPPException;
    import org.jivesoftware.smack.packet.Message;
    import org.jivesoftware.smack.MessageListener;
    public class Sender {
    public static void main(String a[]) throws XMPPException, InterruptedException {
    ConnectionConfiguration config = new ConnectionConfiguration(""10.30.16.147"", 5222);
    XMPPConnection connection = new XMPPConnection(config);
    connection.connect();
    connection.login(""test1@locahost"", ""test1"");
    Chat chat = connection.getChatManager().createChat(""test2@localhost"", new MessageListener() {
    public void processMessage(Chat chat, Message message) {
    System.out.println(""Received message: "" + message);
    }
    });
    chat.sendMessage(""Howdy test1!"");
    while (true) {
    Thread.sleep(50);
    }
    }
    }
    

I get the following console output:
    
    
     apr 18, 2014 10:19:37 AM org.jivesoftware.smack.provider.UrlProviderFileInitializer initialize
    INFO: Loading providers for file [classpath:META-INF/core.providers]
    apr 18, 2014 10:19:37 AM org.jivesoftware.smack.provider.UrlProviderFileInitializer initialize
    INFO: Loading providers for file [classpath:META-INF/extension.providers]
    Exception in thread ""main"" java.lang.IllegalStateException: Not connected to server.
    at org.jivesoftware.smack.XMPPConnection.login(XMPPConnection.java:230)
    at org.jivesoftware.smack.Connection.login(Connection.java:368)
    at test2XMPP.Sender.main(Sender.java:18)
    

I get these error also if I'm already disconnected with my Pidgin test1@localhost client.

Do you have any suggestion? Thanks

Had a similar experience, issue was with Hostname & Domain name being different. I was using single argument constructor of ConnectionConfiguration class.
    
    
    ConnectionConfiguration config = new ConnectionConfiguration(hostname);
    

Just needed to identify Hostname of the machine where Ejabberd was installed & made sure that both of them were the same for the client's to communicate across.",Chat,0
"Sending inline images using Smack XMPP 

I am about to create a simple xmpp java client application and for this I am considering to use the Smack XMPP library, which works pretty well.

One feature of the client should be to send inline images to your chatpartner. I browsed through the javadoc of SMACK but I was not able to find how it's possible to send images or in general binary data with SMACK/XMPP. I am not talking about a standard file transfer that the receiving user has to accept, but rather an image which can be sent within a message. Is this possible with SMACK/XMPP? Can anybody provide an example?

You can just make it accepted by default (the user won't be prompted) by using smth like:
    
    
    final FileTransferManager manager = new FileTransferManager(connection); //Use your xmpp connection
    manager.addFileTransferListener(new FileTransferListener() {
    public void fileTransferRequest(FileTransferRequest request) {
    IncomingFileTransfer transfer = request.accept();
    try {
    InputStream input = transfer.recieveFile();
    //This will be a binary stream and you can process it. Create image and display it inline in your chat app.
    } catch (XMPPException e) {
    e.printStackTrace();
    }
    }
    }",FileTransferManager,1
"Sending inline images using Smack XMPP 

I am about to create a simple xmpp java client application and for this I am considering to use the Smack XMPP library, which works pretty well.

One feature of the client should be to send inline images to your chatpartner. I browsed through the javadoc of SMACK but I was not able to find how it's possible to send images or in general binary data with SMACK/XMPP. I am not talking about a standard file transfer that the receiving user has to accept, but rather an image which can be sent within a message. Is this possible with SMACK/XMPP? Can anybody provide an example?

You can just make it accepted by default (the user won't be prompted) by using smth like:
    
    
    final FileTransferManager manager = new FileTransferManager(connection); //Use your xmpp connection
    manager.addFileTransferListener(new FileTransferListener() {
    public void fileTransferRequest(FileTransferRequest request) {
    IncomingFileTransfer transfer = request.accept();
    try {
    InputStream input = transfer.recieveFile();
    //This will be a binary stream and you can process it. Create image and display it inline in your chat app.
    } catch (XMPPException e) {
    e.printStackTrace();
    }
    }
    }",FileTransferListener,1
"Sending inline images using Smack XMPP 

I am about to create a simple xmpp java client application and for this I am considering to use the Smack XMPP library, which works pretty well.

One feature of the client should be to send inline images to your chatpartner. I browsed through the javadoc of SMACK but I was not able to find how it's possible to send images or in general binary data with SMACK/XMPP. I am not talking about a standard file transfer that the receiving user has to accept, but rather an image which can be sent within a message. Is this possible with SMACK/XMPP? Can anybody provide an example?

You can just make it accepted by default (the user won't be prompted) by using smth like:
    
    
    final FileTransferManager manager = new FileTransferManager(connection); //Use your xmpp connection
    manager.addFileTransferListener(new FileTransferListener() {
    public void fileTransferRequest(FileTransferRequest request) {
    IncomingFileTransfer transfer = request.accept();
    try {
    InputStream input = transfer.recieveFile();
    //This will be a binary stream and you can process it. Create image and display it inline in your chat app.
    } catch (XMPPException e) {
    e.printStackTrace();
    }
    }
    }",FileTransferRequest,1
"Sending inline images using Smack XMPP 

I am about to create a simple xmpp java client application and for this I am considering to use the Smack XMPP library, which works pretty well.

One feature of the client should be to send inline images to your chatpartner. I browsed through the javadoc of SMACK but I was not able to find how it's possible to send images or in general binary data with SMACK/XMPP. I am not talking about a standard file transfer that the receiving user has to accept, but rather an image which can be sent within a message. Is this possible with SMACK/XMPP? Can anybody provide an example?

You can just make it accepted by default (the user won't be prompted) by using smth like:
    
    
    final FileTransferManager manager = new FileTransferManager(connection); //Use your xmpp connection
    manager.addFileTransferListener(new FileTransferListener() {
    public void fileTransferRequest(FileTransferRequest request) {
    IncomingFileTransfer transfer = request.accept();
    try {
    InputStream input = transfer.recieveFile();
    //This will be a binary stream and you can process it. Create image and display it inline in your chat app.
    } catch (XMPPException e) {
    e.printStackTrace();
    }
    }
    }",IncomingFileTransfer,1
"How to send file in Android with Asmack+Openfire? 

could you please send me the code to send file using Asmack + openfire.  
I tried, but I am getting error like `error code=""503"" type=""cancel`.  
Please, help me.

You have to send a fully-qualified jabber ID as detination userID when you create the `OutgoingFileTransfer` it consists of a node, a domain, and a resource (user@domain/resource) as I said before in the comments, actually you are sending `a2@aaa` and is not correct.
    
    
    
    
    test_file
    
    
    
    
    
    http://jabber.org/protocol/bytestreams
    
    
    http://jabber.org/protocol/ibb
    
    
    
    
    
    
    

So, your sentTo variable shoulbe
    
    
    String sentTo = ""user@domain/resource"";
    OutgoingFileTransfer transfer = manager.createOutgoingFileTransfer(sentTo)",OutgoingFileTransfer,1
