fragment,api,relevance
"How to check if a service is running on Android? 

How do I check if a background service (on Android) is running?

I want an Android activity that toggles the state of the service -- it lets me turn it on if it is off and off if it is on.

Take it easy guys... :)

I think the most suitable solution is holding a key-value pair in `SharedPreferences` about if the service is running or not.

Logic is very straight; at any desired position in your service class; put a boolean value which will act as a flag for you about whether the service is running or not. Then read this value whereever you want in your application.

A sample code which I am using in my app is below:

In my Service class (A service for Audio Stream), I execute the following code when the service is up;
    
    
    private void updatePlayerStatus(boolean isRadioPlaying)
    {
    SharedPreferences sharedPref = this.getSharedPreferences(getString(R.string.str_shared_file_name), Context.MODE_PRIVATE);
    SharedPreferences.Editor editor = sharedPref.edit();
    editor.putBoolean(getString(R.string.str_shared_file_radio_status_key), isRadioPlaying);
    editor.commit();
    }
    

Then in any activity of my application, I am checking the status of the service with the help of following code;
    
    
    private boolean isRadioRunning() {
    SharedPreferences sharedPref = this.getSharedPreferences(getString(R.string.str_shared_file_name), Context.MODE_PRIVATE);
    return sharedPref.getBoolean(getString(R.string.str_shared_file_radio_status_key), false);
    }
    

No special permissions, no loops... Easy way, clean solution :)

If you need extra information, please refer the link

Hope this helps.",Service,0
"How to check if a service is running on Android? 

How do I check if a background service (on Android) is running?

I want an Android activity that toggles the state of the service -- it lets me turn it on if it is off and off if it is on.

this works for me
    
    
     if(startService(new Intent(this, YourService.class)) != null) {
    Toast.makeText(getBaseContext(), ""Service is already running"", Toast.LENGTH_SHORT).show();
    }
    else
    {
    Toast.makeText(getBaseContext(), ""There is no service running, starting service.."", Toast.LENGTH_SHORT).show();
    }",Service,0
"How to check if a service is running on Android? 

How do I check if a background service (on Android) is running?

I want an Android activity that toggles the state of the service -- it lets me turn it on if it is off and off if it is on.

~~simple use bind with don't create auto~~ \- see ps.
    
    
    public abstract class Context {
    ... 
    /*
    * @return {true} If you have successfully bound to the service, 
    * {false} is returned if the connection is not made 
    * so you will not receive the service object.
    */
    public abstract boolean bindService(@RequiresPermission Intent service,
    @NonNull ServiceConnection conn, @BindServiceFlags int flags);
    

example :
    
    
     Intent bindIntent = new Intent(context, Class);
    boolean bindResult = context.bindService(bindIntent, ServiceConnection, 0);
    

why not using? getRunningServices()
    
    
    List getRunningServices (int maxNum)
    Return a list of the services that are currently running.
    

Note: this method is only intended for debugging or implementing service management type user interfaces.

* * *

ps. android documentation is misleading i have opened an issue on google tracker to eliminate any doubts:

https://issuetracker.google.com/issues/68908332

as we can see bind service actually invokes a transaction via ActivityManager binder through Service cache binders - i dint track which service is responsible for binding but as we can see the result for bind is:
    
    
    int res = ActivityManagerNative.getDefault().bindService(...);
    return res != 0;
    

transaction is made through binder:
    
    
    ServiceManager.getService(""activity"");
    

next:
    
    
     public static IBinder getService(String name) {
    try {
    IBinder service = sCache.get(name);
    if (service != null) {
    return service;
    } else {
    return getIServiceManager().getService(name);
    

this is set in ActivityThread via:
    
    
     public final void bindApplication(...) {
    if (services != null) {
    // Setup the service cache in the ServiceManager
    ServiceManager.initServiceCache(services);
    }
    

this is called in ActivityManagerService in method:
    
    
     private final boolean attachApplicationLocked(IApplicationThread thread,
    int pid) {
    ...
    thread.bindApplication(... , getCommonServicesLocked(),...)
    

then: 
    
    
     private HashMap getCommonServicesLocked() {
    

but there is no ""activity"" only window package and alarm..

so we need get back to call: 
    
    
     return getIServiceManager().getService(name);
    sServiceManager = ServiceManagerNative.asInterface(BinderInternal.getContextObject());
    

this makes call through:
    
    
     mRemote.transact(GET_SERVICE_TRANSACTION, data, reply, 0);
    

which leads to :
    
    
    BinderInternal.getContextObject()
    

and this is native method....
    
    
     /**
    * Return the global ""context object"" of the system. This is usually
    * an implementation of IServiceManager, which you can use to find
    * other services.
    */
    public static final native IBinder getContextObject();
    

i don't have time now to dug in c so until i dissect rest call i suspend my answer.

but best way for check if service is running is to create bind (if bind is not created service not exist) - and query the service about its state through the bind (using stored internal flag on it state).",Context,0
"How to replicate android:editable=""false"" in code? 

In the layout you can set the `EditText` widget to be non-editable via the `android:editable attribute`.

How can I do this in code? I need to make the `EditText` widget to be editable depending on conditions.

I think an `InputFilter` that rejects all changes is a good solution:
    
    
    editText.setFilters(new InputFilter[] {
    new InputFilter() {
    public CharSequence filter(CharSequence src, int start,
    int end, Spanned dst, int dstart, int dend) {
    return src.length() < 1 ? dst.subSequence(dstart, dend) : """";
    }
    }
    });

Edit: dlazar suggested (below) to change the `return` to `dst.subSequence(dstart, dend)` to overcome behavior that removes words.",CharSequence,1
"How to replicate android:editable=""false"" in code? 

In the layout you can set the `EditText` widget to be non-editable via the `android:editable attribute`.

How can I do this in code? I need to make the `EditText` widget to be editable depending on conditions.

The only solution I have found for this scenario is to create 2 layouts. One is editable and one is not. You may have to create more than 2 layouts based on various conditions. Store the conditions in SharedPreferences or other means and load the relevant layout based on conditions after restarting the Activity. Here's an example:

in onCreate() of the activity:
    
    
     configuration = new Configuration(this.getSharedPreferences(Configuration.SHARED_PREFERENCES_FILE_NAME, Context.MODE_PRIVATE));
    manualSettingsMode = configuration.isManualSettingsMode();
    if(manualSettingsMode){
    setContentView(R.layout.editableconfigurationsettings);
    }else {
    setContentView(R.layout.configurationsettings);
    }
    

The activity can be restarted based on testing for condition and calling functions as:
    
    
    private void setManualEditing(){
    configuration.set_isManualSettingsMode(true);
    this.recreate();
    }
    private void setAutoEditing(){
    configuration.set_isManualSettingsMode(false);
    this.recreate();
    }
    

Hope this helps. There really has to be a better solution, but this is what I've been doing. Ideally, one would be able to do this on individual fields and not have to reload the activity / layouts. -bobby",Context,0
"How to replicate android:editable=""false"" in code? 

In the layout you can set the `EditText` widget to be non-editable via the `android:editable attribute`.

How can I do this in code? I need to make the `EditText` widget to be editable depending on conditions.

try this:
    
    
     mEditText.setFilters(new InputFilter[]{new InputFilter() {
    @Override
    public CharSequence filter(CharSequence source, int start, int end, Spanned dest, int dstart, int dend) {
    if (XXX) {
    return """";
    } else {
    return null;
    }
    }
    }});",CharSequence,0
"Using Application context everywhere? 

In an Android app, is there anything wrong with the following approach:
    
    
    public class MyApp extends android.app.Application {
    private static MyApp instance;
    public MyApp() {
    instance = this;
    }
    public static Context getContext() {
    return instance;
    }
    }
    

and pass it everywhere (e.g. SQLiteOpenHelper) where context is required (and not leaking of course)?

There are a couple of potential problems with this approach, though in a lot of circumstances (such as your example) it will work well.

In particular you should be careful when dealing with anything that deals with the `GUI` that requires a `Context`. For example, if you pass the application Context into the `LayoutInflater` you will get an Exception. Generally speaking, your approach is excellent: it's good practice to use an `Activity's` `Context` within that `Activity`, and the `Application Context` when passing a context beyond the scope of an `Activity` to avoid memory leaks.

Also, as an alternative to your pattern you can use the shortcut of calling `getApplicationContext()` on a `Context` object (such as an Activity) to get the Application Context.",Context,1
"Using Application context everywhere? 

In an Android app, is there anything wrong with the following approach:
    
    
    public class MyApp extends android.app.Application {
    private static MyApp instance;
    public MyApp() {
    instance = this;
    }
    public static Context getContext() {
    return instance;
    }
    }
    

and pass it everywhere (e.g. SQLiteOpenHelper) where context is required (and not leaking of course)?

I like it, but I would suggest a singleton instead:
    
    
    package com.mobidrone;
    import android.app.Application;
    import android.content.Context;
    public class ApplicationContext extends Application
    {
    private static ApplicationContext instance = null;
    private ApplicationContext()
    {
    instance = this;
    }
    public static Context getInstance()
    {
    if (null == instance)
    {
    instance = new ApplicationContext();
    }
    return instance;
    }
    }",Context,0
"How do I show the number keyboard on an EditText in android? 

I just basically want to switch to the number pad mode as soon a certain EditText has the focus.
    
    
    editText.setRawInputType(InputType.TYPE_CLASS_NUMBER);",InputType,0
"Add Context Menu Icon in android 

I have a Listview with a ContextMenu, but when I setIcon for ContextMenu look like it doesn't work
    
    
    public void onCreateContextMenu(ContextMenu menu , View v, 
    ContextMenuInfo menuInfo){
    super.onCreateContextMenu(menu, v, menuInfo);
    menu.add(0, DELETE_ID, 0, R.string.context_menu_favorite)
    .setIcon(android.R.drawable.btn_star); 
    }
    

check this one....
    
    
    @Override
    public void onCreateContextMenu(ContextMenu menu, View v,
    ContextMenuInfo menuInfo) {
    super.onCreateContextMenu(menu, v, menuInfo);
    menu.setHeaderTitle(""Settings"");
    menu.setHeaderIcon(R.drawable.ic_settings);
    menu.add(0, v.getId(), 0, ""Action 1"");
    menu.add(0, v.getId(), 0, ""Action 2"");
    menu.add(0, v.getId(), 0, ""Action 3"");
    }
    @Override
    public boolean onContextItemSelected(MenuItem item) {
    if (item.getTitle() == ""Action 1"") {
    Toast.makeText(this, ""Action 1 invoked"", Toast.LENGTH_SHORT).show();
    } else if (item.getTitle() == ""Action 2"") {
    Toast.makeText(this, ""Action 2 invoked"", Toast.LENGTH_SHORT).show();
    } else if (item.getTitle() == ""Action 3"") {
    Toast.makeText(this, ""Action 3 invoked"", Toast.LENGTH_SHORT).show();
    } else {
    return false;
    }
    return true;
    }",View,0
