fragment,api,relevance
"The Android framework APIs provides a set 2D drawing APIs that allow you to render your own custom graphics onto a canvas or to modify existing Views to customize their look and feel. When drawing 2D graphics, you'll typically do so in one of two ways:

  1. Draw your graphics or animations into a View object from your layout. In this manner, the drawing of your graphics is handled by the system's normal View hierarchy drawing process ¡ª you simply define the graphics to go inside the View.
  2. Draw your graphics directly to a Canvas. This way, you personally call the appropriate class's `onDraw()` method (passing it your Canvas), or one of the Canvas `draw...()` methods (like ``drawPicture()``). In doing so, you are also in control of any animation.



Option ""a,"" drawing to a View, is your best choice when you want to draw simple graphics that do not need to change dynamically and are not part of a performance-intensive game. For example, you should draw your graphics into a View when you want to display a static graphic or predefined animation, within an otherwise static application. Read Drawables for more information. 

Option ""b,"" drawing to a Canvas, is better when your application needs to regularly re-draw itself. Applications such as video games should be drawing to the Canvas on its own. However, there's more than one way to do this:

  * In the same thread as your UI Activity, wherein you create a custom View component in your layout, call ``invalidate()`` and then handle the ``onDraw()`` callback.
  * Or, in a separate thread, wherein you manage a `SurfaceView` and perform draws to the Canvas as fast as your thread is capable (you do not need to request `invalidate()`).",SurfaceView,0
"### On a SurfaceView

The `SurfaceView` is a special subclass of View that offers a dedicated drawing surface within the View hierarchy. The aim is to offer this drawing surface to an application's secondary thread, so that the application isn't required to wait until the system's View hierarchy is ready to draw. Instead, a secondary thread that has reference to a SurfaceView can draw to its own Canvas at its own pace.

To begin, you need to create a new class that extends `SurfaceView`. The class should also implement `SurfaceHolder.Callback`. This subclass is an interface that will notify you with information about the underlying `Surface`, such as when it is created, changed, or destroyed. These events are important so that you know when you can start drawing, whether you need to make adjustments based on new surface properties, and when to stop drawing and potentially kill some tasks. Inside your SurfaceView class is also a good place to define your secondary Thread class, which will perform all the drawing procedures to your Canvas.

Instead of handling the Surface object directly, you should handle it via a `SurfaceHolder`. So, when your SurfaceView is initialized, get the SurfaceHolder by calling ``getHolder()``. You should then notify the SurfaceHolder that you'd like to receive SurfaceHolder callbacks (from `SurfaceHolder.Callback`) by calling `addCallback()` (pass it this). Then override each of the `SurfaceHolder.Callback` methods inside your SurfaceView class.

In order to draw to the Surface Canvas from within your second thread, you must pass the thread your SurfaceHandler and retrieve the Canvas with ``lockCanvas()``. You can now take the Canvas given to you by the SurfaceHolder and do your necessary drawing upon it. Once you're done drawing with the Canvas, call ``unlockCanvasAndPost()``, passing it your Canvas object. The Surface will now draw the Canvas as you left it. Perform this sequence of locking and unlocking the canvas each time you want to redraw.

Note: On each pass you retrieve the Canvas from the SurfaceHolder, the previous state of the Canvas will be retained. In order to properly animate your graphics, you must re-paint the entire surface. For example, you can clear the previous state of the Canvas by filling in a color with ``drawColor()`` or setting a background image with ``drawBitmap()``. Otherwise, you will see traces of the drawings you previously performed.

For a sample application, see the Lunar Lander game, in the SDK samples folder: `<your-sdk-directory>/samples/LunarLander/`. Or, browse the source in the Sample Code section.",SurfaceView,1
"## The Basics

Android supports OpenGL both through its framework API and the Native Development Kit (NDK). This topic focuses on the Android framework interfaces. For more information about the NDK, see the Android NDK. 

There are two foundational classes in the Android framework that let you create and manipulate graphics with the OpenGL ES API: `GLSurfaceView` and `GLSurfaceView.Renderer`. If your goal is to use OpenGL in your Android application, understanding how to implement these classes in an activity should be your first objective. 

`GLSurfaceView`
     This class is a `View` where you can draw and manipulate objects using OpenGL API calls and is similar in function to a `SurfaceView`. You can use this class by creating an instance of `GLSurfaceView` and adding your `Renderer` to it. However, if you want to capture touch screen events, you should extend the `GLSurfaceView` class to implement the touch listeners, as shown in OpenGL training lesson, Responding to Touch Events. 
`GLSurfaceView.Renderer`
     This interface defines the methods required for drawing graphics in a `GLSurfaceView`. You must provide an implementation of this interface as a separate class and attach it to your `GLSurfaceView` instance using `GLSurfaceView.setRenderer()`. 

The `GLSurfaceView.Renderer` interface requires that you implement the following methods:

  * `onSurfaceCreated()`: The system calls this method once, when creating the `GLSurfaceView`. Use this method to perform actions that need to happen only once, such as setting OpenGL environment parameters or initializing OpenGL graphic objects. 
  * `onDrawFrame()`: The system calls this method on each redraw of the `GLSurfaceView`. Use this method as the primary execution point for drawing (and re-drawing) graphic objects.
  * `onSurfaceChanged()`: The system calls this method when the `GLSurfaceView` geometry changes, including changes in size of the `GLSurfaceView` or orientation of the device screen. For example, the system calls this method when the device changes from portrait to landscape orientation. Use this method to respond to changes in the `GLSurfaceView` container.",SurfaceView,1
"The Android framework APIs provides a set 2D drawing APIs that allow you to render your own custom graphics onto a canvas or to modify existing Views to customize their look and feel. When drawing 2D graphics, you'll typically do so in one of two ways:

  1. Draw your graphics or animations into a View object from your layout. In this manner, the drawing of your graphics is handled by the system's normal View hierarchy drawing process ¡ª you simply define the graphics to go inside the View.
  2. Draw your graphics directly to a Canvas. This way, you personally call the appropriate class's `onDraw()` method (passing it your Canvas), or one of the Canvas `draw...()` methods (like ``drawPicture()``). In doing so, you are also in control of any animation.



Option ""a,"" drawing to a View, is your best choice when you want to draw simple graphics that do not need to change dynamically and are not part of a performance-intensive game. For example, you should draw your graphics into a View when you want to display a static graphic or predefined animation, within an otherwise static application. Read Drawables for more information. 

Option ""b,"" drawing to a Canvas, is better when your application needs to regularly re-draw itself. Applications such as video games should be drawing to the Canvas on its own. However, there's more than one way to do this:

  * In the same thread as your UI Activity, wherein you create a custom View component in your layout, call ``invalidate()`` and then handle the ``onDraw()`` callback.
  * Or, in a separate thread, wherein you manage a `SurfaceView` and perform draws to the Canvas as fast as your thread is capable (you do not need to request `invalidate()`).",View,1
"## Draw with a Canvas

When you're writing an application in which you would like to perform specialized drawing and/or control the animation of graphics, you should do so by drawing through a `Canvas`. A Canvas works for you as a pretense, or interface, to the actual surface upon which your graphics will be drawn ¡ª it holds all of your ""draw"" calls. Via the Canvas, your drawing is actually performed upon an underlying `Bitmap`, which is placed into the window.

In the event that you're drawing within the ``onDraw()`` callback method, the Canvas is provided for you and you need only place your drawing calls upon it. You can also acquire a Canvas from ``SurfaceHolder.lockCanvas()``, when dealing with a SurfaceView object. (Both of these scenarios are discussed in the following sections.) However, if you need to create a new Canvas, then you must define the `Bitmap` upon which drawing will actually be performed. The Bitmap is always required for a Canvas. You can set up a new Canvas like this:
    
    
     Bitmap b = Bitmap.createBitmap(100, 100, Bitmap.Config.ARGB_8888); Canvas c = new Canvas(b); 

Now your Canvas will draw onto the defined Bitmap. After drawing upon it with the Canvas, you can then carry your Bitmap to another Canvas with one of the ``Canvas.drawBitmap(Bitmap,...)`` methods. It's recommended that you ultimately draw your final graphics through a Canvas offered to you by ``View.onDraw()`` or ``SurfaceHolder.lockCanvas()`` (see the following sections).

The `Canvas` class has its own set of drawing methods that you can use, like `drawBitmap(...)`, `drawRect(...)`, `drawText(...)`, and many more. Other classes that you might use also have `draw()` methods. For example, you'll probably have some `Drawable` objects that you want to put on the Canvas. Drawable has its own ``draw()`` method that takes your Canvas as an argument.",View,0
"### On a View

If your application does not require a significant amount of processing or frame-rate speed (perhaps for a chess game, a snake game, or another slowly-animated application), then you should consider creating a custom View component and drawing with a Canvas in ``View.onDraw()``. The most convenient aspect of doing so is that the Android framework will provide you with a pre-defined Canvas to which you will place your drawing calls.

To start, extend the `View` class (or descendant thereof) and define the ``onDraw()`` callback method. This method will be called by the Android framework to request that your View draw itself. This is where you will perform all your calls to draw through the `Canvas`, which is passed to you through the `onDraw()` callback.

The Android framework will only call `onDraw()` as necessary. Each time that your application is prepared to be drawn, you must request your View be invalidated by calling ``invalidate()``. This indicates that you'd like your View to be drawn and Android will then call your `onDraw()` method (though is not guaranteed that the callback will be instantaneous). 

Inside your View component's `onDraw()`, use the Canvas given to you for all your drawing, using various `Canvas.draw...()` methods, or other class `draw()` methods that take your Canvas as an argument. Once your `onDraw()` is complete, the Android framework will use your Canvas to draw a Bitmap handled by the system.

Note:  In order to request an invalidate from a thread other than your main Activity's thread, you must call ``postInvalidate()``.

For information about extending the `View` class, read Building Custom Components.

For a sample application, see the Snake game, in the SDK samples folder: `<your-sdk-directory>/samples/Snake/`.",View,1
"## Shape Drawable

When you want to dynamically draw some two-dimensional graphics, a `ShapeDrawable` object will probably suit your needs. With a ShapeDrawable, you can programmatically draw primitive shapes and style them in any way imaginable.

A ShapeDrawable is an extension of `Drawable`, so you can use one where ever a Drawable is expected ¡ª perhaps for the background of a View, set with `setBackgroundDrawable()`. Of course, you can also draw your shape as its own custom `View`, to be added to your layout however you please. Because the ShapeDrawable has its own `draw()` method, you can create a subclass of View that draws the ShapeDrawable during the `View.onDraw()` method. Here's a basic extension of the View class that does just this, to draw a ShapeDrawable as a View:
    
    
           public class CustomDrawableView extends View {       private ShapeDrawable mDrawable;        public CustomDrawableView(Context context) {       super(context);        int x = 10;       int y = 10;       int width = 300;       int height = 50;        mDrawable = new ShapeDrawable(new OvalShape());       mDrawable.getPaint().setColor(0xff74AC23);       mDrawable.setBounds(x, y, x + width, y + height);       }        protected void onDraw(Canvas canvas) {       mDrawable.draw(canvas);       }       }     

In the constructor, a ShapeDrawable is defines as an `OvalShape`. It's then given a color and the bounds of the shape are set. If you do not set the bounds, then the shape will not be drawn, whereas if you don't set the color, it will default to black.

With the custom View defined, it can be drawn any way you like. With the sample above, we can draw the shape programmatically in an Activity:
    
    
           CustomDrawableView mCustomDrawableView;        protected void onCreate(Bundle savedInstanceState) {       super.onCreate(savedInstanceState);       mCustomDrawableView = new CustomDrawableView(this);        setContentView(mCustomDrawableView);       }     

If you'd like to draw this custom drawable from the XML layout instead of from the Activity, then the CustomDrawable class must override the `View(Context, AttributeSet)` constructor, which is called when instantiating a View via inflation from XML. Then add a CustomDrawable element to the XML, like so:
    
    
           <com.example.shapedrawable.CustomDrawableView       android:layout_width=""fill_parent""       android:layout_height=""wrap_content""       />   

The ShapeDrawable class (like many other Drawable types in the `android.graphics.drawable` package) allows you to define various properties of the drawable with public methods. Some properties you might want to adjust include alpha transparency, color filter, dither, opacity and color.

You can also define primitive drawable shapes using XML. For more information, see the section about Shape Drawables in the Drawable Resources document.

<!-- TODO",View,0
"Beginning in Android 3.0 (API level 11), the Android 2D rendering pipeline supports hardware acceleration, meaning that all drawing operations that are performed on a `View`'s canvas use the GPU. Because of the increased resources required to enable hardware acceleration, your app will consume more RAM.

Hardware acceleration is enabled by default if your Target API level is >=14, but can also be explicitly enabled. If your application uses only standard views and `Drawable`s, turning it on globally should not cause any adverse drawing effects. However, because hardware acceleration is not supported for all of the 2D drawing operations, turning it on might affect some of your custom views or drawing calls. Problems usually manifest themselves as invisible elements, exceptions, or wrongly rendered pixels. To remedy this, Android gives you the option to enable or disable hardware acceleration at multiple levels. See Controlling Hardware Acceleration.

If your application performs custom drawing, test your application on actual hardware devices with hardware acceleration turned on to find any problems. The Unsupported drawing operations section describes known issues with hardware acceleration and how to work around them.",View,0
"## Determining if a View is Hardware Accelerated

It is sometimes useful for an application to know whether it is currently hardware accelerated, especially for things such as custom views. This is particularly useful if your application does a lot of custom drawing and not all operations are properly supported by the new rendering pipeline.

There are two different ways to check whether the application is hardware accelerated:

  * `View.isHardwareAccelerated()` returns `true` if the `View` is attached to a hardware accelerated window.
  * `Canvas.isHardwareAccelerated()` returns `true` if the `Canvas` is hardware accelerated



If you must do this check in your drawing code, use `Canvas.isHardwareAccelerated()` instead of `View.isHardwareAccelerated()` when possible. When a view is attached to a hardware accelerated window, it can still be drawn using a non-hardware accelerated Canvas. This happens, for instance, when drawing a view into a bitmap for caching purposes.",View,1
"### Software-based drawing model

In the software drawing model, views are drawn with the following two steps:

  1. Invalidate the hierarchy
  2. Draw the hierarchy



Whenever an application needs to update a part of its UI, it invokes `invalidate()` (or one of its variants) on any view that has changed content. The invalidation messages are propagated all the way up the view hierarchy to compute the regions of the screen that need to be redrawn (the dirty region). The Android system then draws any view in the hierarchy that intersects with the dirty region. Unfortunately, there are two drawbacks to this drawing model:

  * First, this model requires execution of a lot of code on every draw pass. For example, if your application calls `invalidate()` on a button and that button sits on top of another view, the Android system redraws the view even though it hasn't changed.
  * The second issue is that the drawing model can hide bugs in your application. Since the Android system redraws views when they intersect the dirty region, a view whose content you changed might be redrawn even though `invalidate()` was not called on it. When this happens, you are relying on another view being invalidated to obtain the proper behavior. This behavior can change every time you modify your application. Because of this, you should always call `invalidate()` on your custom views whenever you modify data or state that affects the view¡¯s drawing code.



Note: Android views automatically call `invalidate()` when their properties change, such as the background color or the text in a `TextView`.",View,1
"### Hardware accelerated drawing model

The Android system still uses `invalidate()` and `draw()` to request screen updates and to render views, but handles the actual drawing differently. Instead of executing the drawing commands immediately, the Android system records them inside display lists, which contain the output of the view hierarchy¡¯s drawing code. Another optimization is that the Android system only needs to record and update display lists for views marked dirty by an `invalidate()` call. Views that have not been invalidated can be redrawn simply by re-issuing the previously recorded display list. The new drawing model contains three stages:

  1. Invalidate the hierarchy
  2. Record and update display lists
  3. Draw the display lists



With this model, you cannot rely on a view intersecting the dirty region to have its `draw()` method executed. To ensure that the Android system records a view¡¯s display list, you must call `invalidate()`. Forgetting to do so causes a view to look the same even after it has been changed.

Using display lists also benefits animation performance because setting specific properties, such as alpha or rotation, does not require invalidating the targeted view (it is done automatically). This optimization also applies to views with display lists (any view when your application is hardware accelerated.) For example, assume there is a `LinearLayout` that contains a `ListView` above a `Button`. The display list for the `LinearLayout` looks like this:

  * DrawDisplayList(ListView)
  * DrawDisplayList(Button)



Assume now that you want to change the `ListView`'s opacity. After invoking `setAlpha(0.5f)` on the `ListView`, the display list now contains this:

  * SaveLayerAlpha(0.5)
  * DrawDisplayList(ListView)
  * Restore
  * DrawDisplayList(Button)



The complex drawing code of `ListView` was not executed. Instead, the system only updated the display list of the much simpler `LinearLayout`. In an application without hardware acceleration enabled, the drawing code of both the list and its parent are executed again.",View,0
