fragment,api,relevance
"## Accessing Resources in Code 

You can use a resource in code by passing the resource ID as a method parameter. For example, you can set an `ImageView` to use the `res/drawable/myimage.png` resource using `setImageResource()`:
    
    
     ImageView imageView = (ImageView) findViewById(R.id.myimageview); imageView.setImageResource(R.drawable.myimage); 

You can also retrieve individual resources using methods in `Resources`, which you can get an instance of with `getResources()`.",Context,0
"### Use cases

There are many methods that accept a resource ID parameter and you can retrieve resources using methods in `Resources`. You can get an instance of `Resources` with `Context.getResources()`.

Here are some examples of accessing resources in code:
    
    
     // Load a background for the current screen from a drawable resource getWindow().setBackgroundDrawableResource(R.drawable.my_background_image) ;  // Set the Activity title by getting a string from the Resources object, because //  this method requires a CharSequence rather than a resource ID getWindow().setTitle(getResources().getText(R.string.main_title));  // Load a custom layout for the current screen setContentView(R.layout.main_screen);  // Set a slide in animation by getting an Animation from the Resources object mFlipper.setInAnimation(AnimationUtils.loadAnimation(this,         R.anim.hyperspace_in));  // Set the text on a TextView object using a resource ID TextView msgTextView = (TextView) findViewById(R.id.msg); msgTextView.setText(R.string.hello_message); 

Caution: You should never modify the `R.java` file by hand¡ªit is generated by the `aapt` tool when your project is compiled. Any changes are overridden next time you compile.",Context,0
"### Bitmap File

A bitmap file is a `.png`, `.jpg`, or `.gif` file. Android creates a `Drawable` resource for any of these files when you save them in the `res/drawable/` directory.

file location: 
     `res/drawable/filename.png` ( `.png`, `.jpg`, or `.gif`)   
The filename is used as the resource ID. 
compiled resource datatype: 
     Resource pointer to a `BitmapDrawable`. 
resource reference: 
     In Java: `R.drawable.filename`   
In XML: `@[package:]drawable/filename`
example: 
     With an image saved at `res/drawable/myimage.png`, this layout XML applies the image to a View: 
    
    
     <ImageView     android:layout_height=""wrap_content""     android:layout_width=""wrap_content""     android:src=""@drawable/myimage"" /> 

The following application code retrieves the image as a `Drawable`:
    
    
     Resources res = getResources(); Drawable drawable = res.getDrawable(R.drawable.myimage); 

see also: 
    

  * 2D Graphics
  * `BitmapDrawable`",Context,0
"## Shape Drawable

This is a generic shape defined in XML.

file location: 
     `res/drawable/filename.xml`   
The filename is used as the resource ID. 
compiled resource datatype: 
     Resource pointer to a `GradientDrawable`. 
resource reference: 
     In Java: `R.drawable.filename`   
In XML: `@[package:]drawable/filename`
syntax: 
    
    
    
     <?xml version=""1.0"" encoding=""utf-8""?> <shape     xmlns:android=""http://schemas.android.com/apk/res/android""     android:shape=[""rectangle"" | ""oval"" | ""line"" | ""ring""] >     <corners         android:radius=""integer""         android:topLeftRadius=""integer""         android:topRightRadius=""integer""         android:bottomLeftRadius=""integer""         android:bottomRightRadius=""integer"" />     <gradient         android:angle=""integer""         android:centerX=""integer""         android:centerY=""integer""         android:centerColor=""integer""         android:endColor=""color""         android:gradientRadius=""integer""         android:startColor=""color""         android:type=[""linear"" | ""radial"" | ""sweep""]         android:useLevel=[""true"" | ""false""] />     <padding         android:left=""integer""         android:top=""integer""         android:right=""integer""         android:bottom=""integer"" />     <size         android:width=""integer""         android:height=""integer"" />     <solid         android:color=""color"" />     <stroke         android:width=""integer""         android:color=""color""         android:dashWidth=""integer""         android:dashGap=""integer"" /> </shape> 

elements: 
    

`<shape>`
     The shape drawable. This must be the root element. 

attributes:

`xmlns:android`
     String. Required. Defines the XML namespace, which must be `""http://schemas.android.com/apk/res/android""`. 
`android:shape`
     Keyword. Defines the type of shape. Valid values are:  Value | Desciption  
---|---  
`""rectangle""` | A rectangle that fills the containing View. This is the default shape.  
`""oval""` | An oval shape that fits the dimensions of the containing View.  
`""line""` | A horizontal line that spans the width of the containing View. This shape requires the `<stroke>` element to define the width of the line.  
`""ring""` | A ring shape.  
  
The following attributes are used only when `android:shape=""ring""`:

`android:innerRadius`
     Dimension. The radius for the inner part of the ring (the hole in the middle), as a dimension value or dimension resource. 
`android:innerRadiusRatio`
     Float. The radius for the inner part of the ring, expressed as a ratio of the ring's width. For instance, if `android:innerRadiusRatio=""5""`, then the inner radius equals the ring's width divided by 5. This value is overridden by `android:innerRadius`. Default value is 9. 
`android:thickness`
     Dimension. The thickness of the ring, as a dimension value or dimension resource. 
`android:thicknessRatio`
     Float. The thickness of the ring, expressed as a ratio of the ring's width. For instance, if `android:thicknessRatio=""2""`, then the thickness equals the ring's width divided by 2. This value is overridden by `android:innerRadius`. Default value is 3. 
`android:useLevel`
     Boolean. ""true"" if this is used as a `LevelListDrawable`. This should normally be ""false"" or your shape may not appear. 
`<corners>`
     Creates rounded corners for the shape. Applies only when the shape is a rectangle. 

attributes:

`android:radius`
     Dimension. The radius for all corners, as a dimension value or dimension resource. This is overridden for each corner by the following attributes. 
`android:topLeftRadius`
     Dimension. The radius for the top-left corner, as a dimension value or dimension resource. 
`android:topRightRadius`
     Dimension. The radius for the top-right corner, as a dimension value or dimension resource. 
`android:bottomLeftRadius`
     Dimension. The radius for the bottom-left corner, as a dimension value or dimension resource. 
`android:bottomRightRadius`
     Dimension. The radius for the bottom-right corner, as a dimension value or dimension resource. 

Note: Every corner must (initially) be provided a corner radius greater than 1, or else no corners are rounded. If you want specific corners to not be rounded, a work-around is to use `android:radius` to set a default corner radius greater than 1, but then override each and every corner with the values you really want, providing zero (""0dp"") where you don't want rounded corners.

`<gradient>`
     Specifies a gradient color for the shape. 

attributes:

`android:angle`
     Integer. The angle for the gradient, in degrees. 0 is left to right, 90 is bottom to top. It must be a multiple of 45. Default is 0. 
`android:centerX`
     Float. The relative X-position for the center of the gradient (0 - 1.0). 
`android:centerY`
     Float. The relative Y-position for the center of the gradient (0 - 1.0). 
`android:centerColor`
     Color. Optional color that comes between the start and end colors, as a hexadecimal value or color resource. 
`android:endColor`
     Color. The ending color, as a hexadecimal value or color resource. 
`android:gradientRadius`
     Float. The radius for the gradient. Only applied when `android:type=""radial""`. 
`android:startColor`
     Color. The starting color, as a hexadecimal value or color resource. 
`android:type`
     Keyword. The type of gradient pattern to apply. Valid values are:  Value | Description  
---|---  
`""linear""` | A linear gradient. This is the default.  
`""radial""` | A radial gradient. The start color is the center color.  
`""sweep""` | A sweeping line gradient.   
`android:useLevel`
     Boolean. ""true"" if this is used as a `LevelListDrawable`. 
`<padding>`
     Padding to apply to the containing View element (this pads the position of the View content, not the shape). 

attributes:

`android:left`
     Dimension. Left padding, as a dimension value or dimension resource. 
`android:top`
     Dimension. Top padding, as a dimension value or dimension resource. 
`android:right`
     Dimension. Right padding, as a dimension value or dimension resource. 
`android:bottom`
     Dimension. Bottom padding, as a dimension value or dimension resource. 
`<size>`
     The size of the shape. 

attributes:

`android:height`
     Dimension. The height of the shape, as a dimension value or dimension resource. 
`android:width`
     Dimension. The width of the shape, as a dimension value or dimension resource. 

Note: The shape scales to the size of the container View proportionate to the dimensions defined here, by default. When you use the shape in an `ImageView`, you can restrict scaling by setting the `android:scaleType` to `""center""`.

`<solid>`
     A solid color to fill the shape. 

attributes:

`android:color`
     Color. The color to apply to the shape, as a hexadecimal value or color resource. 
`<stroke>`
     A stroke line for the shape. 

attributes:

`android:width`
     Dimension. The thickness of the line, as a dimension value or dimension resource. 
`android:color`
     Color. The color of the line, as a hexadecimal value or color resource. 
`android:dashGap`
     Dimension. The distance between line dashes, as a dimension value or dimension resource. Only valid if `android:dashWidth` is set. 
`android:dashWidth`
     Dimension. The size of each dash line, as a dimension value or dimension resource. Only valid if `android:dashGap` is set. 
example: 
     XML file saved at `res/drawable/gradient_box.xml`: 
    
    
     <?xml version=""1.0"" encoding=""utf-8""?> <shape xmlns:android=""http://schemas.android.com/apk/res/android""     android:shape=""rectangle"">     <gradient         android:startColor=""#FFFF0000""         android:endColor=""#80FF00FF""         android:angle=""45""/>     <padding android:left=""7dp""         android:top=""7dp""         android:right=""7dp""         android:bottom=""7dp"" />     <corners android:radius=""8dp"" /> </shape> 

This layout XML applies the shape drawable to a View:
    
    
     <TextView     android:background=""@drawable/gradient_box""     android:layout_height=""wrap_content""     android:layout_width=""wrap_content"" /> 

This application code gets the shape drawable and applies it to a View:
    
    
     Resources res = getResources(); Drawable shape = res. getDrawable(R.drawable.gradient_box);  TextView tv = (TextView)findViewByID(R.id.textview); tv.setBackground(shape); 

see also: 
    

  * `ShapeDrawable`",Context,0
"## Localization Strategies

#### Design your application to work in any locale

You cannot assume anything about the device on which a user will run your application. The device might have hardware that you were not anticipating, or it might be set to a locale that you did not plan for or that you cannot test. Design your application so that it will function normally or fail gracefully no matter what device it runs on.

Important: Make sure that your application includes a full set of default resources.

Make sure to include `res/drawable/` and a `res/values/` folders (without any additional modifiers in the folder names) that contain all the images and text that your application will need. 

If an application is missing even one default resource, it will not run on a device that is set to an unsupported locale. For example, the `res/values/strings.xml` default file might lack one string that the application needs: When the application runs in an unsupported locale and attempts to load `res/values/strings.xml`, the user will see an error message and a Force Close button. An IDE such as Eclipse will not highlight this kind of error, and you will not see the problem when you test the application on a device or emulator that is set to a supported locale.

For more information, see Testing for Default Resources.

#### Design a flexible layout

If you need to rearrange your layout to fit a certain language (for example German with its long words), you can create an alternative layout for that language (for example `res/layout-de/main.xml`). However, doing this can make your application harder to maintain. It is better to create a single layout that is more flexible.

Another typical situation is a language that requires something different in its layout. For example, you might have a contact form that should include two name fields when the application runs in Japanese, but three name fields when the application runs in some other language. You could handle this in either of two ways:

  * Create one layout with a field that you can programmatically enable or disable, based on the language, or
  * Have the main layout include another layout that includes the changeable field. The second layout can have different configurations for different languages.



#### Avoid creating more resource files and text strings than you need

You probably do not need to create a locale-specific alternative for every resource in your application. For example, the layout defined in the `res/layout/main.xml` file might work in any locale, in which case there would be no need to create any alternative layout files. 

Also, you might not need to create alternative text for every string. For example, assume the following:

  * Your application's default language is American English. Every string that the application uses is defined, using American English spellings, in `res/values/strings.xml`. 
  * For a few important phrases, you want to provide British English spelling. You want these alternative strings to be used when your application runs on a device in the United Kingdom. 



To do this, you could create a small file called `res/values-en-rGB/strings.xml` that includes only the strings that should be different when the application runs in the U.K. For all the rest of the strings, the application will fall back to the defaults and use what is defined in `res/values/strings.xml`.

#### Use the Android Context object for manual locale lookup

You can look up the locale using the `Context` object that Android makes available:
    
    
    String locale = context.getResources().getConfiguration().locale.getDisplayName();",Context,0
"## Bool

A boolean value defined in XML.

Note: A bool is a simple resource that is referenced using the value provided in the `name` attribute (not the name of the XML file). As such, you can combine bool resources with other simple resources in the one XML file, under one `<resources>` element.

file location: 
     `res/values/filename.xml`   
The filename is arbitrary. The `<bool>` element's `name` will be used as the resource ID. 
resource reference: 
     In Java: `R.bool.bool_name`   
In XML: `@[package:]bool/bool_name`
syntax: 
    
    
    
     <?xml version=""1.0"" encoding=""utf-8""?> <resources>     <bool         name=""bool_name""         >[true | false]</bool> </resources> 

elements: 
    

`<resources>`
     Required. This must be the root node. 

No attributes.

`<bool>`
     A boolean value: `true` or `false`. 

attributes:

`name`
     String. A name for the bool value. This will be used as the resource ID. 
example: 
     XML file saved at `res/values-small/bools.xml`: 
    
    
     <?xml version=""1.0"" encoding=""utf-8""?> <resources>     <bool name=""screen_small"">true</bool>     <bool name=""adjust_view_bounds"">true</bool> </resources> 

This application code retrieves the boolean:
    
    
     Resources res = getResources(); boolean screenIsSmall = res.getBoolean(R.bool.screen_small); 

This layout XML uses the boolean for an attribute:
    
    
     <ImageView     android:layout_height=""fill_parent""     android:layout_width=""fill_parent""     android:src=""@drawable/logo""     android:adjustViewBounds=""@bool/adjust_view_bounds"" />",Context,0
"## Color

A color value defined in XML. The color is specified with an RGB value and alpha channel. You can use a color resource any place that accepts a hexadecimal color value. You can also use a color resource when a drawable resource is expected in XML (for example, `android:drawable=""@color/green""`).

The value always begins with a pound (#) character and then followed by the Alpha-Red-Green-Blue information in one of the following formats:

  * #RGB
  * #ARGB
  * #RRGGBB
  * #AARRGGBB



Note: A color is a simple resource that is referenced using the value provided in the `name` attribute (not the name of the XML file). As such, you can combine color resources with other simple resources in the one XML file, under one `<resources>` element.

file location: 
     `res/values/colors.xml`   
The filename is arbitrary. The `<color>` element's `name` will be used as the resource ID. 
resource reference: 
     In Java: `R.color.color_name`   
In XML: `@[package:]color/color_name`
syntax: 
    
    
    
     <?xml version=""1.0"" encoding=""utf-8""?> <resources>     <color         name=""color_name""         >hex_color</color> </resources> 

elements: 
    

`<resources>`
     Required. This must be the root node. 

No attributes.

`<color>`
     A color expressed in hexadecimal, as described above. 

attributes:

`name`
     String. A name for the color. This will be used as the resource ID. 
example: 
     XML file saved at `res/values/colors.xml`: 
    
    
     <?xml version=""1.0"" encoding=""utf-8""?> <resources>    <color name=""opaque_red"">#f00</color>    <color name=""translucent_red"">#80ff0000</color> </resources> 

This application code retrieves the color resource:
    
    
     Resources res = getResources(); int color = res.getColor(R.color.opaque_red); 

This layout XML applies the color to an attribute:
    
    
     <TextView     android:layout_width=""fill_parent""     android:layout_height=""wrap_content""     android:textColor=""@color/translucent_red""     android:text=""Hello""/>",Context,0
"## Dimension

A dimension value defined in XML. A dimension is specified with a number followed by a unit of measure. For example: 10px, 2in, 5sp. The following units of measure are supported by Android:

`dp`
     Density-independent Pixels - An abstract unit that is based on the physical density of the screen. These units are relative to a 160 dpi (dots per inch) screen, on which 1dp is roughly equal to 1px. When running on a higher density screen, the number of pixels used to draw 1dp is scaled up by a factor appropriate for the screen's dpi. Likewise, when on a lower density screen, the number of pixels used for 1dp is scaled down. The ratio of dp-to-pixel will change with the screen density, but not necessarily in direct proportion. Using dp units (instead of px units) is a simple solution to making the view dimensions in your layout resize properly for different screen densities. In other words, it provides consistency for the real-world sizes of your UI elements across different devices. 
`sp`
     Scale-independent Pixels - This is like the dp unit, but it is also scaled by the user's font size preference. It is recommend you use this unit when specifying font sizes, so they will be adjusted for both the screen density and the user's preference. 
`pt`
     Points - 1/72 of an inch based on the physical size of the screen. 
`px`
     Pixels - Corresponds to actual pixels on the screen. This unit of measure is not recommended because the actual representation can vary across devices; each devices may have a different number of pixels per inch and may have more or fewer total pixels available on the screen. 
`mm`
     Millimeters - Based on the physical size of the screen. 
`in`
     Inches - Based on the physical size of the screen. 

Note: A dimension is a simple resource that is referenced using the value provided in the `name` attribute (not the name of the XML file). As such, you can combine dimension resources with other simple resources in the one XML file, under one `<resources>` element.

file location: 
     `res/values/filename.xml`   
The filename is arbitrary. The `<dimen>` element's `name` will be used as the resource ID. 
resource reference: 
     In Java: `R.dimen.dimension_name`   
In XML: `@[package:]dimen/dimension_name`
syntax: 
    
    
    
     <?xml version=""1.0"" encoding=""utf-8""?> <resources>     <dimen         name=""dimension_name""         >dimension</dimen> </resources> 

elements: 
    

`<resources>`
     Required. This must be the root node. 

No attributes.

`<dimen>`
     A dimension, represented by a float, followed by a unit of measurement (dp, sp, pt, px, mm, in), as described above. 

attributes:

`name`
     String. A name for the dimension. This will be used as the resource ID. 
example: 
     XML file saved at `res/values/dimens.xml`: 
    
    
     <?xml version=""1.0"" encoding=""utf-8""?> <resources>     <dimen name=""textview_height"">25dp</dimen>     <dimen name=""textview_width"">150dp</dimen>     <dimen name=""ball_radius"">30dp</dimen>     <dimen name=""font_size"">16sp</dimen> </resources> 

This application code retrieves a dimension:
    
    
     Resources res = getResources(); float fontSize = res.getDimension(R.dimen.font_size); 

This layout XML applies dimensions to attributes:
    
    
     <TextView     android:layout_height=""@dimen/textview_height""     android:layout_width=""@dimen/textview_width""     android:textSize=""@dimen/font_size""/>",Context,1
"## Integer

An integer defined in XML.

Note: An integer is a simple resource that is referenced using the value provided in the `name` attribute (not the name of the XML file). As such, you can combine integer resources with other simple resources in the one XML file, under one `<resources>` element.

file location: 
     `res/values/filename.xml`   
The filename is arbitrary. The `<integer>` element's `name` will be used as the resource ID. 
resource reference: 
     In Java: `R.integer.integer_name`   
In XML: `@[package:]integer/integer_name`
syntax: 
    
    
    
     <?xml version=""1.0"" encoding=""utf-8""?> <resources>     <integer         name=""integer_name""         >integer</integer> </resources> 

elements: 
    

`<resources>`
     Required. This must be the root node. 

No attributes.

`<integer>`
     An integer. 

attributes:

`name`
     String. A name for the integer. This will be used as the resource ID. 
example: 
    

XML file saved at `res/values/integers.xml`:
    
    
     <?xml version=""1.0"" encoding=""utf-8""?> <resources>     <integer name=""max_speed"">75</integer>     <integer name=""min_speed"">5</integer> </resources> 

This application code retrieves an integer:
    
    
     Resources res = getResources(); int maxSpeed = res.getInteger(R.integer.max_speed);",Context,0
"## Integer Array

An array of integers defined in XML.

Note: An integer array is a simple resource that is referenced using the value provided in the `name` attribute (not the name of the XML file). As such, you can combine integer array resources with other simple resources in the one XML file, under one `<resources>` element.

file location: 
     `res/values/filename.xml`   
The filename is arbitrary. The `<integer-array>` element's `name` will be used as the resource ID. 
compiled resource datatype: 
     Resource pointer to an array of integers. 
resource reference: 
     In Java: `R.array.integer_array_name`   
In XML: `@[package:]array.integer_array_name`
syntax: 
    
    
    
     <?xml version=""1.0"" encoding=""utf-8""?> <resources>     <integer-array         name=""integer_array_name"">         <item             >integer</item>     </integer-array> </resources> 

elements: 
    

`<resources>`
     Required. This must be the root node. 

No attributes.

`<integer-array>`
     Defines an array of integers. Contains one or more child `<item>` elements. 

attributes:

`android:name`
     String. A name for the array. This name will be used as the resource ID to reference the array. 
`<item>`
     An integer. The value can be a reference to another integer resource. Must be a child of a `<integer-array>` element. 

No attributes.

example: 
     XML file saved at `res/values/integers.xml`: 
    
    
     <?xml version=""1.0"" encoding=""utf-8""?> <resources>     <integer-array name=""bits"">         <item>4</item>         <item>8</item>         <item>16</item>         <item>32</item>     </integer-array> </resources> 

This application code retrieves the integer array:
    
    
     Resources res = getResources(); int[] bits = res.getIntArray(R.array.bits);",Context,0
