fragment,api,relevance
"An input method editor (IME) is a user control that enables users to enter text. Android provides an extensible input method framework that allows applications to provide users alternative input methods, such as on-screen keyboards or even speech input. Once installed, users can select which IME they want to use from the system settings and use it across the entire system; only one IME may be enabled at a time. 

To add an IME to the Android system, you create an Android application containing a class that extends `InputMethodService`. In addition, you usually create a ""settings"" activity that passes options to the IME service. You can also define a settings UI that's displayed as part of the system settings. 

This article covers the following:

  * The IME lifecycle.
  * Declaring IME components in the application manifest.
  * The IME API.
  * Designing an IME UI.
  * Sending text from an IME to an application.
  * Working with IME subtypes.



If you haven't worked with IMEs before, you should read the introductory article Onscreen Input Methods first. Also, the Soft Keyboard sample app included in the SDK contains sample code that you can modify to start building your own IME.",InputMethodService,0
"## Accessing the Spell Checker Service from a Client

Applications that use `TextView` views automatically benefit from spell checking, because `TextView` automatically uses a spelling checker. The following screenshots show this: 

  


Figure 2. Spell checking in TextView. 

However, you may want to interact directly with a spelling checker service in other cases as well. The following diagram shows the flow of control for interacting with a spelling checker service: 

Figure 3. Interacting with a spelling checker service. 

The  Spell Checker Client sample app shows how to interact with a spelling checker service. The LatinIME input method editor in the Android Open Source Project also contains an example of spell checking.",TextView,0
"### Candidates view

The candidates view is the UI where the IME displays potential word corrections or suggestions for the user to select. In the IME lifecycle, the system calls `onCreateCandidatesView()` when it's ready to display the candidate view. In your implementation of this method, return a layout that shows word suggestions, or return null if you don¡¯t want to show anything (a null response is the default behavior, so you don¡¯t have to implement this if you don¡¯t provide suggestions).

For an example implementation that provides user suggestions, see the Soft Keyboard sample app.",InputMethodService,0
"## The Clipboard Framework

When you use the clipboard framework, you put data into a clip object, and then put the clip object on the system-wide clipboard. The clip object can take one of three forms: 

Text 
     A text string. You put the string directly into the clip object, which you then put onto the clipboard. To paste the string, you get the clip object from the clipboard and copy the string to into your application's storage. 
URI 
     A `Uri` object representing any form of URI. This is primarily for copying complex data from a content provider. To copy data, you put a `Uri` object into a clip object and put the clip object onto the clipboard. To paste the data, you get the clip object, get the `Uri` object, resolve it to a data source such as a content provider, and copy the data from the source into your application's storage. 
Intent 
     An `Intent`. This supports copying application shortcuts. To copy data, you create an Intent, put it into a clip object, and put the clip object onto the clipboard. To paste the data, you get the clip object and then copy the Intent object into your application's memory area. 

The clipboard holds only one clip object at a time. When an application puts a clip object on the clipboard, the previous clip object disappears. 

If you want to allow users to paste data into your application, you don't have to handle all types of data. You can examine the data on the clipboard before you give users the option to paste it. Besides having a certain data form, the clip object also contains metadata that tells you what MIME type or types are available. This metadata helps you decide if your application can do something useful with the clipboard data. For example, if you have an application that primarily handles text you may want to ignore clip objects that contain a URI or Intent. 

You may also want to allow users to paste text regardless of the form of data on the clipboard. To do this, you can force the clipboard data into a text representation, and then paste this text. This is described in the section Coercing the clipboard to text.",Uri,1
"## The Clipboard Framework

When you use the clipboard framework, you put data into a clip object, and then put the clip object on the system-wide clipboard. The clip object can take one of three forms: 

Text 
     A text string. You put the string directly into the clip object, which you then put onto the clipboard. To paste the string, you get the clip object from the clipboard and copy the string to into your application's storage. 
URI 
     A `Uri` object representing any form of URI. This is primarily for copying complex data from a content provider. To copy data, you put a `Uri` object into a clip object and put the clip object onto the clipboard. To paste the data, you get the clip object, get the `Uri` object, resolve it to a data source such as a content provider, and copy the data from the source into your application's storage. 
Intent 
     An `Intent`. This supports copying application shortcuts. To copy data, you create an Intent, put it into a clip object, and put the clip object onto the clipboard. To paste the data, you get the clip object and then copy the Intent object into your application's memory area. 

The clipboard holds only one clip object at a time. When an application puts a clip object on the clipboard, the previous clip object disappears. 

If you want to allow users to paste data into your application, you don't have to handle all types of data. You can examine the data on the clipboard before you give users the option to paste it. Besides having a certain data form, the clip object also contains metadata that tells you what MIME type or types are available. This metadata helps you decide if your application can do something useful with the clipboard data. For example, if you have an application that primarily handles text you may want to ignore clip objects that contain a URI or Intent. 

You may also want to allow users to paste text regardless of the form of data on the clipboard. To do this, you can force the clipboard data into a text representation, and then paste this text. This is described in the section Coercing the clipboard to text.",Intent,1
"### ClipboardManager

In the Android system, the system clipboard is represented by the global `ClipboardManager` class. You do not instantiate this class directly; instead, you get a reference to it by invoking `getSystemService(CLIPBOARD_SERVICE)`.",Context,0
"### ClipboardManager

In the Android system, the system clipboard is represented by the global `ClipboardManager` class. You do not instantiate this class directly; instead, you get a reference to it by invoking `getSystemService(CLIPBOARD_SERVICE)`.",ClipboardManager,1
"### ClipData convenience methods

The `ClipData` class provides static convenience methods for creating a `ClipData` object with a single `ClipData.Item` object and a simple `ClipDescription` object: 

`newPlainText(label, text)`
     Returns a `ClipData` object whose single `ClipData.Item` object contains a text string. The `ClipDescription` object's label is set to `label`. The single MIME type in `ClipDescription` is `MIMETYPE_TEXT_PLAIN`. 

Use `newPlainText()` to create a clip from a text string. 

`newUri(resolver, label, URI)`
     Returns a `ClipData` object whose single `ClipData.Item` object contains a URI. The `ClipDescription` object's label is set to `label`. If the URI is a content URI ( `Uri.getScheme()` returns `content:`), the method uses the `ContentResolver` object provided in `resolver` to retrieve the available MIME types from the content provider and store them in `ClipDescription`. For a URI that is not a `content:` URI, the method sets the MIME type to `MIMETYPE_TEXT_URILIST`. 

Use `newUri()` to create a clip from a URI, particularly a `content:` URI. 

`newIntent(label, intent)`
     Returns a `ClipData` object whose single `ClipData.Item` object contains an `Intent`. The `ClipDescription` object's label is set to `label`. The MIME type is set to `MIMETYPE_TEXT_INTENT`. 

Use `newIntent()` to create a clip from an Intent object.",Uri,0
"### ClipData convenience methods

The `ClipData` class provides static convenience methods for creating a `ClipData` object with a single `ClipData.Item` object and a simple `ClipDescription` object: 

`newPlainText(label, text)`
     Returns a `ClipData` object whose single `ClipData.Item` object contains a text string. The `ClipDescription` object's label is set to `label`. The single MIME type in `ClipDescription` is `MIMETYPE_TEXT_PLAIN`. 

Use `newPlainText()` to create a clip from a text string. 

`newUri(resolver, label, URI)`
     Returns a `ClipData` object whose single `ClipData.Item` object contains a URI. The `ClipDescription` object's label is set to `label`. If the URI is a content URI ( `Uri.getScheme()` returns `content:`), the method uses the `ContentResolver` object provided in `resolver` to retrieve the available MIME types from the content provider and store them in `ClipDescription`. For a URI that is not a `content:` URI, the method sets the MIME type to `MIMETYPE_TEXT_URILIST`. 

Use `newUri()` to create a clip from a URI, particularly a `content:` URI. 

`newIntent(label, intent)`
     Returns a `ClipData` object whose single `ClipData.Item` object contains an `Intent`. The `ClipDescription` object's label is set to `label`. The MIME type is set to `MIMETYPE_TEXT_INTENT`. 

Use `newIntent()` to create a clip from an Intent object.",Intent,0
"### ClipData convenience methods

The `ClipData` class provides static convenience methods for creating a `ClipData` object with a single `ClipData.Item` object and a simple `ClipDescription` object: 

`newPlainText(label, text)`
     Returns a `ClipData` object whose single `ClipData.Item` object contains a text string. The `ClipDescription` object's label is set to `label`. The single MIME type in `ClipDescription` is `MIMETYPE_TEXT_PLAIN`. 

Use `newPlainText()` to create a clip from a text string. 

`newUri(resolver, label, URI)`
     Returns a `ClipData` object whose single `ClipData.Item` object contains a URI. The `ClipDescription` object's label is set to `label`. If the URI is a content URI ( `Uri.getScheme()` returns `content:`), the method uses the `ContentResolver` object provided in `resolver` to retrieve the available MIME types from the content provider and store them in `ClipDescription`. For a URI that is not a `content:` URI, the method sets the MIME type to `MIMETYPE_TEXT_URILIST`. 

Use `newUri()` to create a clip from a URI, particularly a `content:` URI. 

`newIntent(label, intent)`
     Returns a `ClipData` object whose single `ClipData.Item` object contains an `Intent`. The `ClipDescription` object's label is set to `label`. The MIME type is set to `MIMETYPE_TEXT_INTENT`. 

Use `newIntent()` to create a clip from an Intent object.",ClipData,1
